time,enrolled,available,waitlisted,total
2022-05-20T04:29:35,0,30,0,30
2022-05-20T04:40:13,0,30,0,30
2022-05-20T04:50:30,0,30,0,30
2022-05-20T05:00:46,0,30,0,30
2022-05-20T05:11:02,0,30,0,30
2022-05-20T05:21:17,0,30,0,30
2022-05-20T05:31:33,0,30,0,30
2022-05-20T05:41:49,0,30,0,30
2022-05-20T05:52:04,0,30,0,30
2022-05-20T06:02:20,0,30,0,30
2022-05-20T06:12:35,0,30,0,30
2022-05-20T06:22:51,0,30,0,30
2022-05-20T06:33:06,0,30,0,30
2022-05-20T06:43:20,0,30,0,30
2022-05-20T06:53:33,0,30,0,30
2022-05-20T07:03:50,0,30,0,30
2022-05-20T07:14:03,0,30,0,30
2022-05-20T07:24:17,0,30,0,30
2022-05-20T07:34:31,0,30,0,30
2022-05-20T07:44:45,0,30,0,30
2022-05-20T07:54:59,0,30,0,30
2022-05-20T08:05:13,0,30,0,30
2022-05-20T08:15:27,0,30,0,30
2022-05-20T08:25:43,0,30,0,30
2022-05-20T08:35:58,0,30,0,30
2022-05-20T08:46:12,0,30,0,30
2022-05-20T08:56:27,0,30,0,30
2022-05-20T09:06:43,0,30,0,30
2022-05-20T09:17:10,0,30,0,30
2022-05-20T09:27:26,0,30,0,30
2022-05-20T09:37:42,0,30,0,30
2022-05-20T09:47:58,0,30,0,30
2022-05-20T09:58:14,0,30,0,30
2022-05-20T10:08:31,0,30,0,30
2022-05-20T10:18:46,0,30,0,30
2022-05-20T10:29:02,0,30,0,30
2022-05-20T10:39:18,0,30,0,30
2022-05-20T10:49:34,0,30,0,30
2022-05-20T11:00:03,0,30,0,30
2022-05-20T11:10:19,0,30,0,30
2022-05-20T11:20:35,0,30,0,30
2022-05-20T11:30:51,0,30,0,30
2022-05-20T11:41:07,0,30,0,30
2022-05-20T11:51:37,0,30,0,30
2022-05-20T12:01:53,0,30,0,30
2022-05-20T12:12:08,0,30,0,30
2022-05-20T12:22:24,0,30,0,30
2022-05-20T12:32:39,0,30,0,30
2022-05-20T12:42:54,0,30,0,30
2022-05-20T12:53:10,0,30,0,30
2022-05-20T13:03:37,0,30,0,30
2022-05-20T13:13:53,0,30,0,30
2022-05-20T13:24:09,0,30,0,30
2022-05-20T13:34:26,0,30,0,30
2022-05-20T13:44:43,0,30,0,30
2022-05-20T13:54:58,0,30,0,30
2022-05-20T14:05:14,0,30,0,30
2022-05-20T14:15:40,0,30,0,30
2022-05-20T14:25:55,0,30,0,30
2022-05-20T14:36:11,0,30,0,30
2022-05-20T14:46:27,0,30,0,30
2022-05-20T14:56:42,0,30,0,30
2022-05-20T15:07:08,0,30,0,30
2022-05-20T15:17:23,0,30,0,30
2022-05-20T15:27:39,0,30,0,30
