time,enrolled,available,waitlisted,total
2022-05-20T04:33:46,0,475,0,475
2022-05-20T04:44:03,0,475,0,475
2022-05-20T04:54:19,0,475,0,475
2022-05-20T05:04:36,0,475,0,475
2022-05-20T05:14:51,0,475,0,475
2022-05-20T05:25:06,0,475,0,475
2022-05-20T05:35:22,0,475,0,475
2022-05-20T05:45:38,0,475,0,475
2022-05-20T05:55:53,0,475,0,475
2022-05-20T06:06:09,0,475,0,475
2022-05-20T06:16:23,0,475,0,475
2022-05-20T06:26:40,0,475,0,475
2022-05-20T06:36:54,0,475,0,475
2022-05-20T06:47:08,0,475,0,475
2022-05-20T06:57:21,0,475,0,475
2022-05-20T07:07:38,0,475,0,475
2022-05-20T07:17:52,0,475,0,475
2022-05-20T07:28:05,0,475,0,475
2022-05-20T07:38:19,0,475,0,475
2022-05-20T07:48:34,0,475,0,475
2022-05-20T07:58:48,0,475,0,475
2022-05-20T08:09:02,0,475,0,475
2022-05-20T08:19:16,0,475,0,475
2022-05-20T08:29:32,0,475,0,475
2022-05-20T08:39:46,0,475,0,475
2022-05-20T08:50:01,0,475,0,475
2022-05-20T09:00:16,0,475,0,475
2022-05-20T09:10:43,0,475,0,475
2022-05-20T09:20:59,0,475,0,475
2022-05-20T09:31:15,0,475,0,475
2022-05-20T09:41:31,0,475,0,475
2022-05-20T09:51:47,0,475,0,475
2022-05-20T10:02:03,0,475,0,475
2022-05-20T10:12:20,0,475,0,475
2022-05-20T10:22:35,0,475,0,475
2022-05-20T10:32:51,0,475,0,475
2022-05-20T10:43:07,0,475,0,475
2022-05-20T10:53:36,0,475,0,475
2022-05-20T11:03:52,0,475,0,475
2022-05-20T11:14:08,0,475,0,475
2022-05-20T11:24:25,0,475,0,475
2022-05-20T11:34:40,0,475,0,475
2022-05-20T11:44:56,0,475,0,475
2022-05-20T11:55:26,0,475,0,475
2022-05-20T12:05:42,0,475,0,475
2022-05-20T12:15:57,0,475,0,475
2022-05-20T12:26:12,0,475,0,475
2022-05-20T12:36:27,0,475,0,475
2022-05-20T12:46:43,0,475,0,475
2022-05-20T12:56:59,0,475,0,475
2022-05-20T13:07:26,0,475,0,475
2022-05-20T13:17:42,0,475,0,475
2022-05-20T13:27:58,0,475,0,475
2022-05-20T13:38:15,0,475,0,475
2022-05-20T13:48:31,0,475,0,475
2022-05-20T13:58:47,0,475,0,475
2022-05-20T14:09:13,0,475,0,475
2022-05-20T14:19:29,0,475,0,475
2022-05-20T14:29:45,1,474,0,475
2022-05-20T14:40:00,2,473,0,475
2022-05-20T14:50:15,2,473,0,475
2022-05-20T15:00:31,2,473,0,475
2022-05-20T15:10:57,2,473,0,475
2022-05-20T15:21:12,2,473,0,475
2022-05-20T15:31:28,2,473,0,475
2022-05-20T15:41:43,2,473,0,475
2022-05-20T15:51:58,2,473,0,475
2022-05-20T16:02:13,2,473,0,475
2022-05-20T16:12:27,2,473,0,475
2022-05-20T16:22:53,2,473,0,475
2022-05-20T16:33:08,2,473,0,475
2022-05-20T16:43:22,2,473,0,475
2022-05-20T16:53:36,2,473,0,475
2022-05-20T17:03:51,2,473,0,475
2022-05-20T17:14:05,2,473,0,475
2022-05-20T17:24:18,2,473,0,475
2022-05-20T17:34:32,2,473,0,475
2022-05-20T17:44:47,2,473,0,475
2022-05-20T17:55:01,2,473,0,475
2022-05-20T18:05:15,2,473,0,475
2022-05-20T18:15:38,2,473,0,475
2022-05-20T18:25:51,2,473,0,475
2022-05-20T18:36:04,2,473,0,475
2022-05-20T18:46:18,2,473,0,475
2022-05-20T18:56:31,2,473,0,475
2022-05-20T19:06:45,2,473,0,475
2022-05-20T19:16:59,2,473,0,475
2022-05-20T19:27:13,2,473,0,475
2022-05-20T19:37:27,2,473,0,475
2022-05-20T19:47:41,2,473,0,475
2022-05-20T19:58:05,2,473,0,475
2022-05-20T20:08:18,2,473,0,475
2022-05-20T20:18:32,2,473,0,475
2022-05-20T20:28:46,2,473,0,475
2022-05-20T20:38:59,2,473,0,475
2022-05-20T20:49:13,2,473,0,475
2022-05-20T20:59:26,2,473,0,475
2022-05-20T21:09:40,2,473,0,475
2022-05-20T21:19:53,2,473,0,475
2022-05-20T21:30:18,2,473,0,475
2022-05-20T21:40:31,2,473,0,475
2022-05-20T21:50:45,2,473,0,475
2022-05-20T22:00:59,2,473,0,475
2022-05-20T22:11:13,2,473,0,475
2022-05-20T22:21:28,2,473,0,475
2022-05-20T22:31:42,2,473,0,475
2022-05-20T22:41:55,2,473,0,475
2022-05-20T22:52:08,2,473,0,475
2022-05-20T23:02:22,2,473,0,475
2022-05-20T23:12:47,2,473,0,475
2022-05-20T23:23:01,2,473,0,475
2022-05-20T23:33:14,2,473,0,475
2022-05-20T23:43:28,2,473,0,475
2022-05-20T23:53:41,2,473,0,475
2022-05-21T00:03:56,2,473,0,475
2022-05-21T00:14:12,2,473,0,475
2022-05-21T00:24:28,2,473,0,475
2022-05-21T00:34:44,2,473,0,475
2022-05-21T00:45:00,2,473,0,475
2022-05-21T00:55:15,2,473,0,475
2022-05-21T01:05:30,2,473,0,475
2022-05-21T01:15:46,2,473,0,475
2022-05-21T01:26:00,3,472,0,475
2022-05-21T01:36:16,3,472,0,475
2022-05-21T01:46:31,3,472,0,475
