time,enrolled,available,waitlisted,total
2022-05-20T04:32:26,0,3,0,3
2022-05-20T04:42:42,0,3,0,3
2022-05-20T04:52:59,0,3,0,3
2022-05-20T05:03:15,0,3,0,3
2022-05-20T05:13:31,0,3,0,3
2022-05-20T05:23:46,0,3,0,3
2022-05-20T05:34:02,0,3,0,3
2022-05-20T05:44:17,0,3,0,3
2022-05-20T05:54:33,0,3,0,3
2022-05-20T06:04:49,0,3,0,3
2022-05-20T06:15:03,0,3,0,3
2022-05-20T06:25:19,0,3,0,3
2022-05-20T06:35:34,0,3,0,3
2022-05-20T06:45:48,0,3,0,3
2022-05-20T06:56:01,0,3,0,3
2022-05-20T07:06:18,0,3,0,3
2022-05-20T07:16:32,0,3,0,3
2022-05-20T07:26:45,0,3,0,3
2022-05-20T07:36:59,0,3,0,3
2022-05-20T07:47:13,0,3,0,3
2022-05-20T07:57:27,0,3,0,3
2022-05-20T08:07:41,0,3,0,3
2022-05-20T08:17:56,0,3,0,3
2022-05-20T08:28:11,0,3,0,3
2022-05-20T08:38:26,0,3,0,3
2022-05-20T08:48:41,0,3,0,3
2022-05-20T08:58:56,0,3,0,3
2022-05-20T09:09:23,0,3,0,3
2022-05-20T09:19:39,0,3,0,3
2022-05-20T09:29:55,0,3,0,3
2022-05-20T09:40:10,0,3,0,3
2022-05-20T09:50:27,0,3,0,3
2022-05-20T10:00:43,0,3,0,3
2022-05-20T10:10:59,0,3,0,3
2022-05-20T10:21:15,0,3,0,3
2022-05-20T10:31:31,0,3,0,3
2022-05-20T10:41:46,0,3,0,3
2022-05-20T10:52:15,0,3,0,3
2022-05-20T11:02:32,0,3,0,3
2022-05-20T11:12:48,0,3,0,3
2022-05-20T11:23:04,0,3,0,3
2022-05-20T11:33:20,0,3,0,3
2022-05-20T11:43:36,1,2,0,3
2022-05-20T11:54:05,1,2,0,3
2022-05-20T12:04:22,1,2,0,3
2022-05-20T12:14:37,1,2,0,3
2022-05-20T12:24:52,1,2,0,3
2022-05-20T12:35:07,1,2,0,3
2022-05-20T12:45:22,1,2,0,3
2022-05-20T12:55:39,1,2,0,3
2022-05-20T13:06:05,2,1,0,3
2022-05-20T13:16:22,2,1,0,3
2022-05-20T13:26:38,2,1,0,3
2022-05-20T13:36:55,2,1,0,3
2022-05-20T13:47:11,3,0,0,3
2022-05-20T13:57:27,3,0,0,3
2022-05-20T14:07:53,3,0,0,3
2022-05-20T14:18:08,3,0,0,3
2022-05-20T14:28:24,3,0,0,3
2022-05-20T14:38:40,3,0,0,3
2022-05-20T14:48:55,3,0,0,3
2022-05-20T14:59:11,3,0,0,3
2022-05-20T15:09:36,3,0,0,3
2022-05-20T15:19:52,3,0,0,3
2022-05-20T15:30:07,3,0,0,3
2022-05-20T15:40:22,3,0,0,3
2022-05-20T15:50:37,3,0,0,3
2022-05-20T16:00:52,3,0,0,3
2022-05-20T16:11:07,3,0,0,3
2022-05-20T16:21:33,3,0,0,3
2022-05-20T16:31:47,3,0,0,3
2022-05-20T16:42:01,3,0,0,3
2022-05-20T16:52:16,3,0,0,3
2022-05-20T17:02:30,3,0,0,3
2022-05-20T17:12:45,3,0,0,3
2022-05-20T17:22:58,3,0,0,3
2022-05-20T17:33:12,3,0,0,3
2022-05-20T17:43:27,3,0,0,3
2022-05-20T17:53:41,3,0,0,3
2022-05-20T18:03:55,3,0,0,3
2022-05-20T18:14:17,3,0,0,3
2022-05-20T18:24:31,3,0,0,3
2022-05-20T18:34:44,3,0,0,3
2022-05-20T18:44:57,3,0,0,3
2022-05-20T18:55:11,3,0,0,3
2022-05-20T19:05:25,3,0,0,3
2022-05-20T19:15:39,3,0,0,3
2022-05-20T19:25:53,3,0,0,3
2022-05-20T19:36:07,3,0,0,3
2022-05-20T19:46:21,3,0,0,3
2022-05-20T19:56:45,3,0,0,3
2022-05-20T20:06:58,3,0,0,3
2022-05-20T20:17:12,3,0,0,3
2022-05-20T20:27:26,3,0,0,3
2022-05-20T20:37:39,3,0,0,3
2022-05-20T20:47:53,3,0,0,3
2022-05-20T20:58:06,3,0,0,3
2022-05-20T21:08:20,3,0,0,3
2022-05-20T21:18:33,3,0,0,3
2022-05-20T21:28:58,3,0,0,3
2022-05-20T21:39:11,3,0,0,3
2022-05-20T21:49:25,3,0,0,3
2022-05-20T21:59:39,3,0,0,3
2022-05-20T22:09:53,3,0,0,3
2022-05-20T22:20:08,3,0,0,3
2022-05-20T22:30:22,3,0,0,3
2022-05-20T22:40:35,3,0,0,3
2022-05-20T22:50:48,3,0,0,3
2022-05-20T23:01:02,3,0,0,3
2022-05-20T23:11:16,3,0,0,3
2022-05-20T23:21:41,3,0,0,3
2022-05-20T23:31:54,3,0,0,3
2022-05-20T23:42:08,3,0,0,3
2022-05-20T23:52:21,3,0,0,3
2022-05-21T00:02:36,3,0,0,3
2022-05-21T00:12:51,3,0,0,3
2022-05-21T00:23:07,3,0,0,3
2022-05-21T00:33:23,3,0,0,3
2022-05-21T00:43:39,3,0,0,3
2022-05-21T00:53:55,3,0,0,3
2022-05-21T01:04:10,3,0,0,3
2022-05-21T01:14:26,3,0,0,3
2022-05-21T01:24:40,3,0,0,3
2022-05-21T01:34:56,3,0,0,3
2022-05-21T01:45:11,3,0,0,3
2022-05-21T01:55:25,3,0,0,3
2022-05-21T02:05:49,3,0,0,3
2022-05-21T02:16:03,3,0,0,3
2022-05-21T02:26:16,3,0,0,3
2022-05-21T02:36:30,3,0,0,3
2022-05-21T02:46:43,3,0,0,3
2022-05-21T02:56:55,3,0,0,3
2022-05-21T03:07:08,3,0,0,3
2022-05-21T03:17:24,3,0,0,3
2022-05-21T03:27:42,3,0,0,3
2022-05-21T03:37:58,3,0,0,3
2022-05-21T03:48:14,3,0,0,3
2022-05-21T03:58:29,3,0,0,3
2022-05-21T04:08:44,3,0,0,3
