time,enrolled,available,waitlisted,total
2022-05-18T04:30:56,0,32,0,32
2022-05-18T04:41:29,0,32,0,32
2022-05-18T04:51:40,0,32,0,32
2022-05-18T05:01:51,0,32,0,32
2022-05-18T05:12:01,0,32,0,32
2022-05-18T05:22:12,0,32,0,32
2022-05-18T05:32:22,0,32,0,32
2022-05-18T05:42:32,0,32,0,32
2022-05-18T05:52:42,0,32,0,32
2022-05-18T06:02:53,0,32,0,32
2022-05-18T06:13:04,0,32,0,32
2022-05-18T06:23:13,0,32,0,32
2022-05-18T06:33:21,0,32,0,32
2022-05-18T06:43:28,0,32,0,32
2022-05-18T06:53:36,0,32,0,32
2022-05-18T07:03:44,0,32,0,32
2022-05-18T07:13:53,0,32,0,32
2022-05-18T07:24:00,0,32,0,32
2022-05-18T07:34:08,0,32,0,32
2022-05-18T07:44:17,0,32,0,32
2022-05-18T07:54:25,0,32,0,32
2022-05-18T08:04:32,0,32,0,32
2022-05-18T08:14:40,0,32,0,32
2022-05-18T08:24:49,0,32,0,32
2022-05-18T08:34:58,0,32,0,32
2022-05-18T08:45:07,0,32,0,32
2022-05-18T08:55:16,0,32,0,32
2022-05-18T09:05:25,0,32,0,32
2022-05-18T09:15:46,0,32,0,32
2022-05-18T09:25:55,0,32,0,32
2022-05-18T09:36:04,0,32,0,32
2022-05-18T09:46:13,0,32,0,32
2022-05-18T09:56:23,0,32,0,32
2022-05-18T10:06:35,0,32,0,32
2022-05-18T10:16:46,0,32,0,32
2022-05-18T10:26:58,0,32,0,32
2022-05-18T10:37:20,0,32,0,32
2022-05-18T10:47:30,0,32,0,32
2022-05-18T10:57:40,0,32,0,32
2022-05-18T11:07:50,0,32,0,32
2022-05-18T11:18:00,0,32,0,32
2022-05-18T11:28:08,0,32,0,32
2022-05-18T11:38:18,0,32,0,32
2022-05-18T11:48:26,0,32,0,32
2022-05-18T11:58:45,0,32,0,32
2022-05-18T12:08:54,0,32,0,32
2022-05-18T12:19:02,0,32,0,32
2022-05-18T12:29:13,0,32,0,32
2022-05-18T12:39:22,0,32,0,32
2022-05-18T12:49:33,0,32,0,32
2022-05-18T12:59:43,0,32,0,32
2022-05-18T13:10:04,0,32,0,32
2022-05-18T13:20:14,0,32,0,32
2022-05-18T13:30:24,0,32,0,32
2022-05-18T13:40:35,0,32,0,32
2022-05-18T13:50:46,0,32,0,32
2022-05-18T14:00:57,0,32,0,32
2022-05-18T14:11:07,0,32,0,32
2022-05-18T14:21:17,0,32,0,32
2022-05-18T14:31:39,0,32,0,32
2022-05-18T14:41:49,0,32,0,32
2022-05-18T14:51:59,0,32,0,32
2022-05-18T15:02:11,0,32,0,32
2022-05-18T15:12:23,0,32,0,32
2022-05-18T15:22:33,0,32,0,32
2022-05-18T15:32:43,0,32,0,32
2022-05-18T15:43:05,0,32,0,32
2022-05-18T15:53:16,0,32,0,32
2022-05-18T16:03:27,0,32,0,32
2022-05-18T16:13:38,0,32,0,32
2022-05-18T16:23:48,0,32,0,32
2022-05-18T16:33:58,0,32,0,32
2022-05-18T16:44:08,0,32,0,32
