time,enrolled,available,waitlisted,total
2022-05-18T04:30:20,0,48,0,48
2022-05-18T04:40:54,0,48,0,48
2022-05-18T04:51:04,0,48,0,48
2022-05-18T05:01:14,0,48,0,48
2022-05-18T05:11:26,0,48,0,48
2022-05-18T05:21:35,0,48,0,48
2022-05-18T05:31:47,0,48,0,48
2022-05-18T05:41:57,0,48,0,48
2022-05-18T05:52:07,0,48,0,48
2022-05-18T06:02:18,0,48,0,48
2022-05-18T06:12:29,0,48,0,48
2022-05-18T06:22:38,0,48,0,48
2022-05-18T06:32:46,0,48,0,48
2022-05-18T06:42:53,0,48,0,48
2022-05-18T06:53:01,0,48,0,48
2022-05-18T07:03:09,0,48,0,48
2022-05-18T07:13:18,0,48,0,48
2022-05-18T07:23:26,0,48,0,48
2022-05-18T07:33:33,0,48,0,48
2022-05-18T07:43:42,0,48,0,48
2022-05-18T07:53:50,0,48,0,48
2022-05-18T08:03:58,0,48,0,48
2022-05-18T08:14:05,0,48,0,48
2022-05-18T08:24:14,0,48,0,48
2022-05-18T08:34:23,0,48,0,48
2022-05-18T08:44:32,0,48,0,48
2022-05-18T08:54:41,0,48,0,48
2022-05-18T09:04:51,0,48,0,48
2022-05-18T09:15:11,0,48,0,48
2022-05-18T09:25:20,0,48,0,48
2022-05-18T09:35:29,0,48,0,48
2022-05-18T09:45:38,0,48,0,48
2022-05-18T09:55:48,0,48,0,48
2022-05-18T10:06:00,0,48,0,48
2022-05-18T10:16:11,0,48,0,48
2022-05-18T10:26:22,0,48,0,48
2022-05-18T10:36:32,0,48,0,48
2022-05-18T10:46:55,0,48,0,48
2022-05-18T10:57:05,0,48,0,48
2022-05-18T11:07:15,0,48,0,48
2022-05-18T11:17:25,0,48,0,48
2022-05-18T11:27:34,0,48,0,48
2022-05-18T11:37:43,0,48,0,48
2022-05-18T11:47:51,0,48,0,48
2022-05-18T11:58:10,0,48,0,48
2022-05-18T12:08:19,0,48,0,48
2022-05-18T12:18:27,0,48,0,48
2022-05-18T12:28:38,0,48,0,48
2022-05-18T12:38:48,0,48,0,48
2022-05-18T12:48:58,0,48,0,48
2022-05-18T12:59:08,0,48,0,48
2022-05-18T13:09:18,0,48,0,48
2022-05-18T13:19:39,0,48,0,48
2022-05-18T13:29:49,0,48,0,48
2022-05-18T13:40:00,0,48,0,48
2022-05-18T13:50:11,0,48,0,48
2022-05-18T14:00:22,0,48,0,48
2022-05-18T14:10:32,0,48,0,48
2022-05-18T14:20:42,0,48,0,48
2022-05-18T14:31:04,0,48,0,48
2022-05-18T14:41:15,0,48,0,48
2022-05-18T14:51:24,0,48,0,48
2022-05-18T15:01:35,0,48,0,48
2022-05-18T15:11:47,0,48,0,48
2022-05-18T15:21:58,0,48,0,48
2022-05-18T15:32:08,0,48,0,48
2022-05-18T15:42:30,0,48,0,48
2022-05-18T15:52:41,0,48,0,48
2022-05-18T16:02:52,0,48,0,48
2022-05-18T16:13:02,0,48,0,48
2022-05-18T16:23:14,0,48,0,48
2022-05-18T16:33:23,0,48,0,48
2022-05-18T16:43:33,0,48,0,48
2022-05-18T16:53:43,0,48,0,48
2022-05-18T17:04:03,0,48,0,48
2022-05-18T17:14:14,0,48,0,48
2022-05-18T17:24:23,0,48,0,48
2022-05-18T17:34:32,0,48,0,48
2022-05-18T17:44:41,0,48,0,48
2022-05-18T17:54:51,0,48,0,48
2022-05-18T18:05:00,0,48,0,48
2022-05-18T18:15:09,0,48,0,48
2022-05-18T18:25:20,0,48,0,48
2022-05-18T18:35:40,0,48,0,48
2022-05-18T18:45:49,0,48,0,48
2022-05-18T18:55:58,0,48,0,48
2022-05-18T19:06:07,0,48,0,48
2022-05-18T19:16:16,0,48,0,48
2022-05-18T19:26:25,0,48,0,48
2022-05-18T19:36:34,0,48,0,48
2022-05-18T19:46:43,0,48,0,48
2022-05-18T19:56:52,0,48,0,48
2022-05-18T20:07:01,0,48,0,48
2022-05-18T20:17:21,0,48,0,48
2022-05-18T20:27:30,0,48,0,48
2022-05-18T20:37:38,0,48,0,48
2022-05-18T20:47:47,0,48,0,48
2022-05-18T20:57:56,0,48,0,48
2022-05-18T21:08:06,0,48,0,48
2022-05-18T21:18:15,0,48,0,48
2022-05-18T21:28:24,0,48,0,48
2022-05-18T21:38:33,0,48,0,48
2022-05-18T21:48:42,0,48,0,48
2022-05-18T21:59:01,0,48,0,48
2022-05-18T22:09:10,0,48,0,48
2022-05-18T22:19:19,0,48,0,48
2022-05-18T22:29:28,0,48,0,48
2022-05-18T22:39:37,0,48,0,48
2022-05-18T22:49:46,0,48,0,48
2022-05-18T22:59:55,0,48,0,48
2022-05-18T23:10:05,0,48,0,48
2022-05-18T23:20:15,0,48,0,48
2022-05-18T23:30:38,0,48,0,48
2022-05-18T23:40:47,0,48,0,48
2022-05-18T23:50:55,0,48,0,48
2022-05-19T00:01:04,0,48,0,48
2022-05-19T00:11:17,0,48,0,48
2022-05-19T00:21:29,0,48,0,48
2022-05-19T00:31:43,0,48,0,48
2022-05-19T00:41:58,0,48,0,48
2022-05-19T00:52:09,0,48,0,48
2022-05-19T01:02:20,0,48,0,48
2022-05-19T01:12:29,0,48,0,48
2022-05-19T01:22:39,0,48,0,48
2022-05-19T01:32:48,0,48,0,48
2022-05-19T01:42:58,0,48,0,48
2022-05-19T01:53:09,0,48,0,48
2022-05-19T02:03:29,0,48,0,48
2022-05-19T02:13:38,0,48,0,48
2022-05-19T02:23:47,0,48,0,48
2022-05-19T02:33:55,0,48,0,48
2022-05-19T02:44:03,0,48,0,48
2022-05-19T02:54:12,0,48,0,48
2022-05-19T03:04:19,0,48,0,48
2022-05-19T03:14:30,0,48,0,48
2022-05-19T03:24:50,0,48,0,48
2022-05-19T03:35:01,0,48,0,48
2022-05-19T03:45:12,0,48,0,48
2022-05-19T03:55:22,0,48,0,48
2022-05-19T04:05:33,0,48,0,48
2022-05-19T04:21:31,0,48,0,48
2022-05-19T04:32:53,0,48,0,48
2022-05-19T04:43:20,0,48,0,48
2022-05-19T04:53:31,0,48,0,48
2022-05-19T05:03:43,0,48,0,48
2022-05-19T05:13:55,0,48,0,48
2022-05-19T05:24:06,0,48,0,48
2022-05-19T05:34:17,0,48,0,48
2022-05-19T05:44:26,0,48,0,48
2022-05-19T05:54:37,0,48,0,48
2022-05-19T06:04:49,0,48,0,48
2022-05-19T06:14:59,0,48,0,48
2022-05-19T06:25:10,0,48,0,48
2022-05-19T06:35:22,0,48,0,48
2022-05-19T06:45:33,0,48,0,48
2022-05-19T06:55:43,0,48,0,48
2022-05-19T07:05:57,0,48,0,48
2022-05-19T07:16:07,0,48,0,48
2022-05-19T07:26:17,0,48,0,48
2022-05-19T07:36:26,0,48,0,48
2022-05-19T07:46:36,0,48,0,48
2022-05-19T07:56:45,0,48,0,48
2022-05-19T08:06:54,0,48,0,48
2022-05-19T08:17:03,0,48,0,48
2022-05-19T08:27:13,0,48,0,48
2022-05-19T08:37:23,0,48,0,48
2022-05-19T08:47:34,0,48,0,48
2022-05-19T08:57:44,0,48,0,48
2022-05-19T09:08:11,0,48,0,48
2022-05-19T09:18:21,0,48,0,48
2022-05-19T09:28:31,0,48,0,48
2022-05-19T09:38:42,0,48,0,48
2022-05-19T09:48:54,0,48,0,48
2022-05-19T09:59:06,0,48,0,48
2022-05-19T10:09:17,0,48,0,48
2022-05-19T10:19:28,0,48,0,48
2022-05-19T10:29:41,0,48,0,48
2022-05-19T10:39:58,0,48,0,48
2022-05-19T10:50:11,0,48,0,48
2022-05-19T11:00:23,0,48,0,48
2022-05-19T11:10:37,0,48,0,48
2022-05-19T11:21:03,0,48,0,48
2022-05-19T11:31:16,0,48,0,48
2022-05-19T11:41:28,0,48,0,48
2022-05-19T11:51:40,0,48,0,48
2022-05-19T12:01:52,0,48,0,48
2022-05-19T12:12:03,0,48,0,48
2022-05-19T12:22:15,0,48,0,48
2022-05-19T12:32:28,0,48,0,48
2022-05-19T12:43:01,0,48,0,48
2022-05-19T12:53:15,0,48,0,48
2022-05-19T13:03:29,0,48,0,48
2022-05-19T13:13:43,0,48,0,48
2022-05-19T13:23:57,0,48,0,48
2022-05-19T13:34:12,0,48,0,48
2022-05-19T13:44:26,0,48,0,48
2022-05-19T13:54:51,0,48,0,48
2022-05-19T14:05:06,0,48,0,48
2022-05-19T14:15:23,0,48,0,48
2022-05-19T14:25:38,0,48,0,48
2022-05-19T14:35:54,0,48,0,48
2022-05-19T14:46:12,0,48,0,48
2022-05-19T14:56:28,0,48,0,48
2022-05-19T15:07:04,0,48,0,48
2022-05-19T15:17:21,0,48,0,48
2022-05-19T15:27:39,0,48,0,48
2022-05-19T15:37:58,0,48,0,48
2022-05-19T15:48:16,0,48,0,48
2022-05-19T15:58:34,0,48,0,48
2022-05-19T16:08:53,0,48,0,48
2022-05-19T16:19:10,0,48,0,48
2022-05-19T16:29:29,0,48,0,48
2022-05-19T16:39:59,0,48,0,48
2022-05-19T16:50:17,0,48,0,48
2022-05-19T17:00:34,0,48,0,48
2022-05-19T17:10:51,0,48,0,48
2022-05-19T17:21:09,0,48,0,48
