time,enrolled,available,waitlisted,total
2022-05-20T04:30:46,0,14,0,14
2022-05-20T04:41:03,0,14,0,14
2022-05-20T04:51:20,0,14,0,14
2022-05-20T05:01:36,0,14,0,14
2022-05-20T05:11:52,0,14,0,14
2022-05-20T05:22:07,0,14,0,14
2022-05-20T05:32:23,0,14,0,14
2022-05-20T05:42:38,0,14,0,14
2022-05-20T05:52:54,0,14,0,14
2022-05-20T06:03:10,0,14,0,14
2022-05-20T06:13:24,0,14,0,14
2022-05-20T06:23:41,0,14,0,14
2022-05-20T06:33:55,0,14,0,14
2022-05-20T06:44:09,0,14,0,14
2022-05-20T06:54:23,0,14,0,14
2022-05-20T07:04:39,0,14,0,14
2022-05-20T07:14:53,0,14,0,14
2022-05-20T07:25:07,0,14,0,14
2022-05-20T07:35:20,0,14,0,14
2022-05-20T07:45:35,0,14,0,14
2022-05-20T07:55:49,0,14,0,14
2022-05-20T08:06:03,0,14,0,14
2022-05-20T08:16:17,0,14,0,14
2022-05-20T08:26:33,0,14,0,14
2022-05-20T08:36:47,0,14,0,14
2022-05-20T08:47:02,0,14,0,14
2022-05-20T08:57:17,0,14,0,14
2022-05-20T09:07:32,0,14,0,14
2022-05-20T09:18:00,0,14,0,14
2022-05-20T09:28:16,0,14,0,14
2022-05-20T09:38:31,0,14,0,14
2022-05-20T09:48:47,0,14,0,14
2022-05-20T09:59:04,0,14,0,14
2022-05-20T10:09:20,0,14,0,14
2022-05-20T10:19:36,0,14,0,14
2022-05-20T10:29:52,0,14,0,14
2022-05-20T10:40:08,0,14,0,14
2022-05-20T10:50:36,0,14,0,14
2022-05-20T11:00:52,0,14,0,14
2022-05-20T11:11:09,0,14,0,14
2022-05-20T11:21:25,0,14,0,14
2022-05-20T11:31:41,0,14,0,14
2022-05-20T11:41:57,0,14,0,14
2022-05-20T11:52:27,0,14,0,14
2022-05-20T12:02:43,0,14,0,14
2022-05-20T12:12:58,0,14,0,14
2022-05-20T12:23:13,0,14,0,14
2022-05-20T12:33:28,0,14,0,14
2022-05-20T12:43:44,0,14,0,14
2022-05-20T12:53:59,0,14,0,14
2022-05-20T13:04:27,0,14,0,14
2022-05-20T13:14:43,0,14,0,14
2022-05-20T13:24:59,0,14,0,14
2022-05-20T13:35:16,0,14,0,14
2022-05-20T13:45:32,0,14,0,14
2022-05-20T13:55:48,0,14,0,14
2022-05-20T14:06:14,0,14,0,14
2022-05-20T14:16:30,0,14,0,14
2022-05-20T14:26:45,0,14,0,14
2022-05-20T14:37:01,0,14,0,14
2022-05-20T14:47:17,0,14,0,14
2022-05-20T14:57:32,0,14,0,14
2022-05-20T15:07:57,0,14,0,14
2022-05-20T15:18:13,0,14,0,14
2022-05-20T15:28:29,0,14,0,14
2022-05-20T15:38:43,0,14,0,14
2022-05-20T15:48:59,0,14,0,14
2022-05-20T15:59:13,0,14,0,14
2022-05-20T16:09:28,0,14,0,14
2022-05-20T16:19:54,0,14,0,14
2022-05-20T16:30:09,0,14,0,14
2022-05-20T16:40:23,0,14,0,14
2022-05-20T16:50:37,0,14,0,14
2022-05-20T17:00:51,0,14,0,14
2022-05-20T17:11:06,0,14,0,14
2022-05-20T17:21:20,0,14,0,14
2022-05-20T17:31:34,0,14,0,14
2022-05-20T17:41:48,0,14,0,14
2022-05-20T17:52:02,0,14,0,14
2022-05-20T18:02:16,0,14,0,14
2022-05-20T18:12:39,0,14,0,14
2022-05-20T18:22:52,0,14,0,14
2022-05-20T18:33:06,0,14,0,14
2022-05-20T18:43:19,0,14,0,14
