time,enrolled,available,waitlisted,total
2022-05-20T04:32:02,0,0,0,0
2022-05-20T04:42:19,0,0,0,0
2022-05-20T04:52:36,0,0,0,0
2022-05-20T05:02:52,0,0,0,0
2022-05-20T05:13:08,0,0,0,0
2022-05-20T05:23:22,0,0,0,0
2022-05-20T05:33:39,0,0,0,0
2022-05-20T05:43:54,0,0,0,0
2022-05-20T05:54:10,0,0,0,0
2022-05-20T06:04:25,0,0,0,0
2022-05-20T06:14:40,0,0,0,0
2022-05-20T06:24:56,0,0,0,0
2022-05-20T06:35:11,0,0,0,0
2022-05-20T06:45:25,0,0,0,0
2022-05-20T06:55:38,0,0,0,0
2022-05-20T07:05:55,0,0,0,0
2022-05-20T07:16:08,0,0,0,0
2022-05-20T07:26:22,0,0,0,0
2022-05-20T07:36:35,0,0,0,0
2022-05-20T07:46:50,0,0,0,0
2022-05-20T07:57:04,0,0,0,0
2022-05-20T08:07:18,0,0,0,0
2022-05-20T08:17:32,0,0,0,0
2022-05-20T08:27:48,0,0,0,0
2022-05-20T08:38:03,0,0,0,0
2022-05-20T08:48:18,0,0,0,0
2022-05-20T08:58:32,0,0,0,0
2022-05-20T09:09:00,0,0,0,0
2022-05-20T09:19:16,0,0,0,0
2022-05-20T09:29:31,0,0,0,0
2022-05-20T09:39:47,0,0,0,0
2022-05-20T09:50:03,0,0,0,0
2022-05-20T10:00:19,0,0,0,0
2022-05-20T10:10:36,0,0,0,0
2022-05-20T10:20:51,0,0,0,0
2022-05-20T10:31:08,0,0,0,0
2022-05-20T10:41:23,0,0,0,0
2022-05-20T10:51:52,0,0,0,0
2022-05-20T11:02:08,0,0,0,0
2022-05-20T11:12:25,0,0,0,0
2022-05-20T11:22:41,0,0,0,0
2022-05-20T11:32:56,0,0,0,0
2022-05-20T11:43:13,0,0,0,0
2022-05-20T11:53:42,0,0,0,0
2022-05-20T12:03:58,0,0,0,0
2022-05-20T12:14:13,0,0,0,0
2022-05-20T12:24:29,0,0,0,0
2022-05-20T12:34:44,0,0,0,0
2022-05-20T12:44:59,0,0,0,0
2022-05-20T12:55:15,0,0,0,0
2022-05-20T13:05:42,0,0,0,0
2022-05-20T13:15:58,0,0,0,0
2022-05-20T13:26:15,0,0,0,0
2022-05-20T13:36:32,0,0,0,0
2022-05-20T13:46:48,0,0,0,0
2022-05-20T13:57:03,0,0,0,0
2022-05-20T14:07:30,0,0,0,0
2022-05-20T14:17:45,0,0,0,0
2022-05-20T14:28:01,0,0,0,0
2022-05-20T14:38:16,0,0,0,0
2022-05-20T14:48:32,0,0,0,0
2022-05-20T14:58:47,0,0,0,0
2022-05-20T15:09:13,0,0,0,0
2022-05-20T15:19:28,0,0,0,0
2022-05-20T15:29:44,0,0,0,0
2022-05-20T15:39:59,0,0,0,0
2022-05-20T15:50:14,0,0,0,0
2022-05-20T16:00:29,0,0,0,0
2022-05-20T16:10:44,0,0,0,0
2022-05-20T16:21:09,0,0,0,0
2022-05-20T16:31:24,0,0,0,0
2022-05-20T16:41:38,0,0,0,0
2022-05-20T16:51:52,0,0,0,0
2022-05-20T17:02:07,0,0,0,0
