time,enrolled,available,waitlisted,total
2022-05-20T04:27:18,0,272,0,272
2022-05-20T04:37:57,0,272,0,272
2022-05-20T04:48:14,0,272,0,272
2022-05-20T04:58:30,0,272,0,272
2022-05-20T05:08:47,0,272,0,272
2022-05-20T05:19:01,0,272,0,272
2022-05-20T05:29:17,0,272,0,272
2022-05-20T05:39:33,0,272,0,272
2022-05-20T05:49:48,0,272,0,272
2022-05-20T06:00:04,0,272,0,272
2022-05-20T06:10:19,0,272,0,272
2022-05-20T06:20:34,0,272,0,272
2022-05-20T06:30:50,0,272,0,272
2022-05-20T06:41:04,0,272,0,272
2022-05-20T06:51:18,0,272,0,272
2022-05-20T07:01:34,0,272,0,272
2022-05-20T07:11:48,0,272,0,272
2022-05-20T07:22:02,0,272,0,272
2022-05-20T07:32:15,0,272,0,272
2022-05-20T07:42:29,0,272,0,272
2022-05-20T07:52:44,0,272,0,272
2022-05-20T08:02:57,0,272,0,272
2022-05-20T08:13:12,0,272,0,272
2022-05-20T08:23:27,0,272,0,272
2022-05-20T08:33:42,0,272,0,272
2022-05-20T08:43:56,0,272,0,272
2022-05-20T08:54:11,0,272,0,272
2022-05-20T09:04:27,0,272,0,272
2022-05-20T09:14:54,0,272,0,272
2022-05-20T09:25:10,0,272,0,272
2022-05-20T09:35:26,0,272,0,272
2022-05-20T09:45:42,0,272,0,272
2022-05-20T09:55:58,0,272,0,272
2022-05-20T10:06:15,0,272,0,272
2022-05-20T10:16:30,0,272,0,272
2022-05-20T10:26:46,0,272,0,272
2022-05-20T10:37:02,0,272,0,272
2022-05-20T10:47:18,0,272,0,272
2022-05-20T10:57:46,0,272,0,272
2022-05-20T11:08:03,0,272,0,272
2022-05-20T11:18:19,0,272,0,272
2022-05-20T11:28:35,0,272,0,272
2022-05-20T11:38:51,0,272,0,272
2022-05-20T11:49:07,0,272,0,272
2022-05-20T11:59:37,0,272,0,272
2022-05-20T12:09:53,0,272,0,272
2022-05-20T12:20:08,0,272,0,272
2022-05-20T12:30:23,0,272,0,272
2022-05-20T12:40:38,0,272,0,272
2022-05-20T12:50:54,0,272,0,272
2022-05-20T13:01:21,0,272,0,272
2022-05-20T13:11:37,2,270,0,272
2022-05-20T13:21:53,5,267,0,272
2022-05-20T13:32:10,5,267,0,272
2022-05-20T13:42:26,7,265,0,272
2022-05-20T13:52:42,7,265,0,272
2022-05-20T14:02:58,7,265,0,272
2022-05-20T14:13:24,7,265,0,272
2022-05-20T14:23:39,7,265,0,272
2022-05-20T14:33:55,7,265,0,272
2022-05-20T14:44:11,7,265,0,272
2022-05-20T14:54:26,7,265,0,272
2022-05-20T15:04:41,9,263,0,272
2022-05-20T15:15:07,9,263,0,272
2022-05-20T15:25:23,9,263,0,272
2022-05-20T15:35:38,9,263,0,272
2022-05-20T15:45:53,9,263,0,272
2022-05-20T15:56:08,9,263,0,272
2022-05-20T16:06:23,9,263,0,272
2022-05-20T16:16:38,9,263,0,272
2022-05-20T16:27:03,9,263,0,272
2022-05-20T16:37:18,9,263,0,272
2022-05-20T16:47:32,9,263,0,272
2022-05-20T16:57:46,9,263,0,272
2022-05-20T17:08:01,9,263,0,272
2022-05-20T17:18:15,9,263,0,272
2022-05-20T17:28:28,9,263,0,272
2022-05-20T17:38:43,9,263,0,272
2022-05-20T17:48:57,9,263,0,272
2022-05-20T17:59:11,9,263,0,272
2022-05-20T18:09:34,9,263,0,272
2022-05-20T18:19:47,9,263,0,272
2022-05-20T18:30:01,9,263,0,272
2022-05-20T18:40:14,9,263,0,272
2022-05-20T18:50:27,9,263,0,272
2022-05-20T19:00:41,9,263,0,272
2022-05-20T19:10:55,10,262,0,272
2022-05-20T19:21:09,10,262,0,272
2022-05-20T19:31:23,10,262,0,272
2022-05-20T19:41:38,10,262,0,272
2022-05-20T19:51:51,10,262,0,272
2022-05-20T20:02:15,10,262,0,272
2022-05-20T20:12:28,10,262,0,272
2022-05-20T20:22:42,10,262,0,272
2022-05-20T20:32:56,10,262,0,272
2022-05-20T20:43:09,10,262,0,272
2022-05-20T20:53:23,10,262,0,272
2022-05-20T21:03:36,10,262,0,272
2022-05-20T21:13:50,10,262,0,272
2022-05-20T21:24:04,10,262,0,272
2022-05-20T21:34:28,10,262,0,272
2022-05-20T21:44:41,10,262,0,272
2022-05-20T21:54:55,10,262,0,272
2022-05-20T22:05:10,10,262,0,272
2022-05-20T22:15:23,10,262,0,272
2022-05-20T22:25:38,10,262,0,272
2022-05-20T22:35:51,10,262,0,272
2022-05-20T22:46:05,10,262,0,272
2022-05-20T22:56:18,10,262,0,272
2022-05-20T23:06:32,10,262,0,272
2022-05-20T23:16:57,10,262,0,272
2022-05-20T23:27:11,10,262,0,272
2022-05-20T23:37:24,10,262,0,272
2022-05-20T23:47:38,10,262,0,272
2022-05-20T23:57:51,10,262,0,272
2022-05-21T00:08:06,10,262,0,272
2022-05-21T00:18:23,10,262,0,272
2022-05-21T00:28:39,10,262,0,272
2022-05-21T00:38:55,10,262,0,272
2022-05-21T00:49:10,10,262,0,272
2022-05-21T00:59:26,10,262,0,272
