time,enrolled,available,waitlisted,total
2022-05-20T04:29:53,0,0,0,0
2022-05-20T04:40:31,0,0,0,0
2022-05-20T04:50:48,0,0,0,0
2022-05-20T05:01:04,0,0,0,0
2022-05-20T05:11:20,0,0,0,0
2022-05-20T05:21:35,0,0,0,0
2022-05-20T05:31:51,0,0,0,0
2022-05-20T05:42:07,0,0,0,0
2022-05-20T05:52:22,0,0,0,0
2022-05-20T06:02:38,0,0,0,0
2022-05-20T06:12:53,0,0,0,0
2022-05-20T06:23:09,0,0,0,0
2022-05-20T06:33:24,0,0,0,0
2022-05-20T06:43:38,0,0,0,0
2022-05-20T06:53:51,0,0,0,0
2022-05-20T07:04:08,0,0,0,0
2022-05-20T07:14:21,0,0,0,0
2022-05-20T07:24:35,0,0,0,0
2022-05-20T07:34:49,0,0,0,0
2022-05-20T07:45:03,0,0,0,0
2022-05-20T07:55:17,0,0,0,0
2022-05-20T08:05:31,0,0,0,0
2022-05-20T08:15:45,0,0,0,0
2022-05-20T08:26:01,0,0,0,0
2022-05-20T08:36:16,0,0,0,0
2022-05-20T08:46:30,0,0,0,0
2022-05-20T08:56:45,0,0,0,0
2022-05-20T09:07:01,0,0,0,0
2022-05-20T09:17:28,0,0,0,0
2022-05-20T09:27:44,0,0,0,0
2022-05-20T09:38:00,0,0,0,0
2022-05-20T09:48:16,0,0,0,0
2022-05-20T09:58:32,0,0,0,0
2022-05-20T10:08:49,0,0,0,0
2022-05-20T10:19:04,0,0,0,0
2022-05-20T10:29:20,0,0,0,0
2022-05-20T10:39:36,0,0,0,0
2022-05-20T10:49:52,0,0,0,0
2022-05-20T11:00:21,0,0,0,0
2022-05-20T11:10:37,0,0,0,0
2022-05-20T11:20:53,0,0,0,0
2022-05-20T11:31:09,0,0,0,0
2022-05-20T11:41:25,0,0,0,0
2022-05-20T11:51:55,0,0,0,0
2022-05-20T12:02:11,0,0,0,0
2022-05-20T12:12:26,0,0,0,0
2022-05-20T12:22:42,0,0,0,0
2022-05-20T12:32:57,0,0,0,0
2022-05-20T12:43:12,0,0,0,0
2022-05-20T12:53:27,0,0,0,0
2022-05-20T13:03:55,0,0,0,0
2022-05-20T13:14:11,0,0,0,0
2022-05-20T13:24:27,0,0,0,0
2022-05-20T13:34:44,0,0,0,0
2022-05-20T13:45:00,0,0,0,0
2022-05-20T13:55:16,0,0,0,0
2022-05-20T14:05:32,0,0,0,0
2022-05-20T14:15:58,0,0,0,0
2022-05-20T14:26:13,0,0,0,0
2022-05-20T14:36:29,0,0,0,0
2022-05-20T14:46:45,0,0,0,0
2022-05-20T14:57:00,0,0,0,0
2022-05-20T15:07:26,0,0,0,0
2022-05-20T15:17:41,0,0,0,0
2022-05-20T15:27:57,0,0,0,0
2022-05-20T15:38:12,0,0,0,0
2022-05-20T15:48:27,0,0,0,0
2022-05-20T15:58:41,0,0,0,0
2022-05-20T16:08:57,0,0,0,0
2022-05-20T16:19:22,0,0,0,0
2022-05-20T16:29:37,0,0,0,0
2022-05-20T16:39:51,0,0,0,0
2022-05-20T16:50:05,0,0,0,0
2022-05-20T17:00:20,0,0,0,0
2022-05-20T17:10:34,0,0,0,0
2022-05-20T17:20:48,0,0,0,0
2022-05-20T17:31:02,0,0,0,0
2022-05-20T17:41:16,0,0,0,0
2022-05-20T17:51:30,0,0,0,0
2022-05-20T18:01:44,0,0,0,0
2022-05-20T18:12:07,0,0,0,0
2022-05-20T18:22:21,0,0,0,0
