time,enrolled,available,waitlisted,total
2022-05-18T04:37:15,0,165,0,165
2022-05-18T04:47:25,0,165,0,165
2022-05-18T04:57:35,0,165,0,165
2022-05-18T05:07:47,0,165,0,165
2022-05-18T05:17:56,0,165,0,165
2022-05-18T05:28:08,0,165,0,165
2022-05-18T05:38:18,0,165,0,165
2022-05-18T05:48:27,0,165,0,165
2022-05-18T05:58:38,0,165,0,165
2022-05-18T06:08:51,0,165,0,165
2022-05-18T06:18:59,0,165,0,165
2022-05-18T06:29:07,0,165,0,165
2022-05-18T06:39:15,0,165,0,165
2022-05-18T06:49:23,0,165,0,165
2022-05-18T06:59:30,0,165,0,165
2022-05-18T07:09:40,0,165,0,165
2022-05-18T07:19:47,0,165,0,165
2022-05-18T07:29:55,0,165,0,165
2022-05-18T07:40:03,0,165,0,165
2022-05-18T07:50:11,0,165,0,165
2022-05-18T08:00:19,0,165,0,165
2022-05-18T08:10:27,0,165,0,165
2022-05-18T08:20:35,0,165,0,165
2022-05-18T08:30:44,0,165,0,165
2022-05-18T08:40:53,0,165,0,165
2022-05-18T08:51:02,0,165,0,165
2022-05-18T09:01:12,0,165,0,165
2022-05-18T09:11:32,0,165,0,165
2022-05-18T09:21:41,0,165,0,165
2022-05-18T09:31:51,0,165,0,165
2022-05-18T09:41:59,0,165,0,165
2022-05-18T09:52:09,0,165,0,165
2022-05-18T10:02:20,0,165,0,165
2022-05-18T10:12:32,0,165,0,165
2022-05-18T10:22:43,0,165,0,165
2022-05-18T10:32:53,0,165,0,165
2022-05-18T10:43:16,0,165,0,165
2022-05-18T10:53:26,0,165,0,165
2022-05-18T11:03:36,0,165,0,165
2022-05-18T11:13:46,0,165,0,165
2022-05-18T11:23:55,0,165,0,165
2022-05-18T11:34:04,0,165,0,165
2022-05-18T11:44:12,0,165,0,165
2022-05-18T11:54:32,0,165,0,165
2022-05-18T12:04:40,0,165,0,165
2022-05-18T12:14:49,0,165,0,165
2022-05-18T12:24:57,0,165,0,165
2022-05-18T12:35:08,0,165,0,165
2022-05-18T12:45:18,0,165,0,165
2022-05-18T12:55:28,0,165,0,165
2022-05-18T13:05:39,0,165,0,165
2022-05-18T13:15:59,0,165,0,165
2022-05-18T13:26:09,0,165,0,165
2022-05-18T13:36:20,0,165,0,165
2022-05-18T13:46:31,0,165,0,165
2022-05-18T13:56:42,0,165,0,165
2022-05-18T14:06:52,0,165,0,165
2022-05-18T14:17:02,0,165,0,165
2022-05-18T14:27:24,0,165,0,165
2022-05-18T14:37:35,0,165,0,165
2022-05-18T14:47:45,0,165,0,165
2022-05-18T14:57:55,0,165,0,165
2022-05-18T15:08:07,0,165,0,165
2022-05-18T15:18:18,0,165,0,165
2022-05-18T15:28:28,0,165,0,165
2022-05-18T15:38:50,0,165,0,165
2022-05-18T15:49:00,0,165,0,165
2022-05-18T15:59:11,0,165,0,165
2022-05-18T16:09:22,0,165,0,165
2022-05-18T16:19:33,0,165,0,165
2022-05-18T16:29:43,0,165,0,165
2022-05-18T16:39:53,0,165,0,165
2022-05-18T16:50:03,0,165,0,165
2022-05-18T17:00:23,0,165,0,165
2022-05-18T17:10:33,0,165,0,165
2022-05-18T17:20:43,0,165,0,165
2022-05-18T17:30:52,0,165,0,165
2022-05-18T17:41:02,0,165,0,165
2022-05-18T17:51:11,0,165,0,165
2022-05-18T18:01:20,0,165,0,165
2022-05-18T18:11:29,0,165,0,165
2022-05-18T18:21:40,0,165,0,165
2022-05-18T18:31:50,0,165,0,165
2022-05-18T18:42:09,0,165,0,165
2022-05-18T18:52:18,0,165,0,165
2022-05-18T19:02:27,0,165,0,165
2022-05-18T19:12:36,0,165,0,165
2022-05-18T19:22:45,0,165,0,165
2022-05-18T19:32:54,0,165,0,165
2022-05-18T19:43:03,0,165,0,165
2022-05-18T19:53:12,0,165,0,165
2022-05-18T20:03:22,0,165,0,165
2022-05-18T20:13:30,0,165,0,165
2022-05-18T20:23:50,0,165,0,165
2022-05-18T20:33:58,0,165,0,165
2022-05-18T20:44:07,0,165,0,165
2022-05-18T20:54:16,0,165,0,165
2022-05-18T21:04:27,0,165,0,165
2022-05-18T21:14:36,0,165,0,165
2022-05-18T21:24:44,0,165,0,165
2022-05-18T21:34:53,0,165,0,165
2022-05-18T21:45:02,0,165,0,165
2022-05-18T21:55:21,0,165,0,165
2022-05-18T22:05:30,0,165,0,165
2022-05-18T22:15:39,0,165,0,165
2022-05-18T22:25:48,0,165,0,165
2022-05-18T22:35:57,0,165,0,165
2022-05-18T22:46:06,0,165,0,165
2022-05-18T22:56:15,0,165,0,165
2022-05-18T23:06:25,0,165,0,165
2022-05-18T23:16:35,0,165,0,165
2022-05-18T23:26:45,0,165,0,165
2022-05-18T23:37:07,0,165,0,165
2022-05-18T23:47:16,0,165,0,165
2022-05-18T23:57:24,0,165,0,165
2022-05-19T00:07:36,0,165,0,165
2022-05-19T00:17:48,0,165,0,165
2022-05-19T00:28:01,0,165,0,165
2022-05-19T00:38:17,0,165,0,165
2022-05-19T00:48:28,0,165,0,165
2022-05-19T00:58:39,0,165,0,165
2022-05-19T01:08:49,0,165,0,165
2022-05-19T01:18:59,0,165,0,165
2022-05-19T01:29:08,0,165,0,165
2022-05-19T01:39:18,0,165,0,165
2022-05-19T01:49:28,0,165,0,165
2022-05-19T01:59:48,0,165,0,165
2022-05-19T02:09:58,0,165,0,165
2022-05-19T02:20:07,0,165,0,165
2022-05-19T02:30:16,0,165,0,165
2022-05-19T02:40:24,0,165,0,165
2022-05-19T02:50:32,0,165,0,165
2022-05-19T03:00:40,0,165,0,165
2022-05-19T03:10:49,0,165,0,165
2022-05-19T03:21:01,0,165,0,165
2022-05-19T03:31:20,0,165,0,165
2022-05-19T03:41:32,0,165,0,165
2022-05-19T03:51:42,0,165,0,165
2022-05-19T04:01:53,0,165,0,165
2022-05-19T04:12:04,0,165,0,165
2022-05-19T04:28:03,0,165,0,165
2022-05-19T04:39:38,0,165,0,165
2022-05-19T04:49:50,0,165,0,165
2022-05-19T05:00:01,0,165,0,165
2022-05-19T05:10:14,0,165,0,165
2022-05-19T05:20:25,0,165,0,165
2022-05-19T05:30:36,0,165,0,165
2022-05-19T05:40:47,0,165,0,165
2022-05-19T05:50:57,0,165,0,165
2022-05-19T06:01:08,0,165,0,165
2022-05-19T06:11:19,0,165,0,165
2022-05-19T06:21:30,0,165,0,165
2022-05-19T06:31:41,0,165,0,165
2022-05-19T06:41:52,0,165,0,165
2022-05-19T06:52:03,0,165,0,165
2022-05-19T07:02:13,0,165,0,165
2022-05-19T07:12:27,0,165,0,165
2022-05-19T07:22:37,0,165,0,165
2022-05-19T07:32:46,0,165,0,165
2022-05-19T07:42:56,0,165,0,165
2022-05-19T07:53:05,0,165,0,165
2022-05-19T08:03:14,0,165,0,165
2022-05-19T08:13:23,0,165,0,165
2022-05-19T08:23:32,0,165,0,165
2022-05-19T08:33:42,0,165,0,165
2022-05-19T08:43:54,0,165,0,165
2022-05-19T08:54:04,0,165,0,165
2022-05-19T09:04:31,0,165,0,165
2022-05-19T09:14:41,0,165,0,165
2022-05-19T09:24:51,0,165,0,165
2022-05-19T09:35:02,0,165,0,165
2022-05-19T09:45:14,0,165,0,165
2022-05-19T09:55:25,0,165,0,165
2022-05-19T10:05:36,0,165,0,165
2022-05-19T10:15:48,0,165,0,165
2022-05-19T10:25:59,0,165,0,165
2022-05-19T10:36:17,0,165,0,165
2022-05-19T10:46:29,0,165,0,165
2022-05-19T10:56:42,0,165,0,165
2022-05-19T11:06:55,0,165,0,165
2022-05-19T11:17:21,0,165,0,165
2022-05-19T11:27:34,0,165,0,165
2022-05-19T11:37:46,0,165,0,165
2022-05-19T11:47:59,0,165,0,165
2022-05-19T11:58:10,0,165,0,165
2022-05-19T12:08:22,0,165,0,165
2022-05-19T12:18:34,0,165,0,165
2022-05-19T12:28:46,0,165,0,165
2022-05-19T12:38:59,0,165,0,165
2022-05-19T12:49:32,0,165,0,165
2022-05-19T12:59:46,0,165,0,165
2022-05-19T13:10:00,0,165,0,165
2022-05-19T13:20:14,0,165,0,165
2022-05-19T13:30:29,0,165,0,165
2022-05-19T13:40:43,0,165,0,165
2022-05-19T13:51:08,0,165,0,165
2022-05-19T14:01:23,0,165,0,165
2022-05-19T14:11:39,0,165,0,165
2022-05-19T14:21:54,0,165,0,165
2022-05-19T14:32:10,0,165,0,165
2022-05-19T14:42:27,0,165,0,165
2022-05-19T14:52:44,0,165,0,165
2022-05-19T15:03:01,0,165,0,165
2022-05-19T15:13:37,0,165,0,165
2022-05-19T15:23:55,0,165,0,165
2022-05-19T15:34:13,0,165,0,165
2022-05-19T15:44:32,0,165,0,165
2022-05-19T15:54:50,0,165,0,165
2022-05-19T16:05:08,0,165,0,165
2022-05-19T16:15:26,0,165,0,165
2022-05-19T16:25:44,0,165,0,165
2022-05-19T16:36:04,0,165,0,165
2022-05-19T16:46:32,0,165,0,165
2022-05-19T16:56:50,0,165,0,165
2022-05-19T17:07:07,0,165,0,165
2022-05-19T17:17:25,0,165,0,165
2022-05-19T17:27:41,0,165,0,165
2022-05-19T17:37:57,0,165,0,165
2022-05-19T17:48:13,0,165,0,165
2022-05-19T17:58:48,0,165,0,165
2022-05-19T18:09:04,0,165,0,165
2022-05-19T18:19:19,0,165,0,165
2022-05-19T18:29:35,0,165,0,165
2022-05-19T18:39:50,0,165,0,165
2022-05-19T18:50:06,0,165,0,165
2022-05-19T19:00:28,0,165,0,165
2022-05-19T19:10:53,0,165,0,165
2022-05-19T19:21:20,0,165,0,165
2022-05-19T19:31:58,0,165,0,165
2022-05-19T19:42:28,0,165,0,165
2022-05-19T19:52:53,0,165,0,165
2022-05-19T20:03:18,0,165,0,165
2022-05-19T20:13:45,0,165,0,165
2022-05-19T20:24:04,0,165,0,165
2022-05-19T20:34:31,0,165,0,165
2022-05-19T20:44:49,0,165,0,165
2022-05-19T20:55:11,0,165,0,165
2022-05-19T21:05:35,0,165,0,165
2022-05-19T21:15:57,0,165,0,165
2022-05-19T21:26:20,0,165,0,165
2022-05-19T21:36:43,0,165,0,165
2022-05-19T21:47:05,0,165,0,165
2022-05-19T21:57:38,0,165,0,165
2022-05-19T22:08:00,0,165,0,165
2022-05-19T22:18:20,0,165,0,165
2022-05-19T22:28:38,0,165,0,165
2022-05-19T22:38:56,0,165,0,165
2022-05-19T22:49:11,0,165,0,165
2022-05-19T22:59:25,0,165,0,165
2022-05-19T23:09:40,0,165,0,165
2022-05-19T23:19:57,0,165,0,165
2022-05-19T23:30:35,0,165,0,165
2022-05-19T23:40:50,0,165,0,165
2022-05-19T23:51:04,0,165,0,165
2022-05-20T00:01:20,0,165,0,165
2022-05-20T00:11:37,0,165,0,165
2022-05-20T00:21:56,0,165,0,165
2022-05-20T00:32:11,0,165,0,165
2022-05-20T00:42:27,0,165,0,165
2022-05-20T00:52:43,0,165,0,165
2022-05-20T01:02:59,0,165,0,165
2022-05-20T01:13:16,0,165,0,165
2022-05-20T01:23:42,0,165,0,165
2022-05-20T01:33:56,0,165,0,165
2022-05-20T01:44:10,0,165,0,165
2022-05-20T01:54:26,0,165,0,165
2022-05-20T02:04:40,0,165,0,165
2022-05-20T02:14:55,0,165,0,165
2022-05-20T02:25:18,0,165,0,165
2022-05-20T02:35:35,0,165,0,165
