time,enrolled,available,waitlisted,total
2022-05-18T04:36:34,0,30,0,30
2022-05-18T04:46:45,0,30,0,30
2022-05-18T04:56:55,0,30,0,30
2022-05-18T05:07:07,0,30,0,30
2022-05-18T05:17:16,0,30,0,30
2022-05-18T05:27:28,0,30,0,30
2022-05-18T05:37:38,0,30,0,30
2022-05-18T05:47:47,0,30,0,30
2022-05-18T05:57:58,0,30,0,30
2022-05-18T06:08:11,0,30,0,30
2022-05-18T06:18:19,0,30,0,30
2022-05-18T06:28:27,0,30,0,30
2022-05-18T06:38:35,0,30,0,30
2022-05-18T06:48:43,0,30,0,30
2022-05-18T06:58:50,0,30,0,30
2022-05-18T07:09:00,0,30,0,30
2022-05-18T07:19:07,0,30,0,30
2022-05-18T07:29:15,0,30,0,30
2022-05-18T07:39:23,0,30,0,30
2022-05-18T07:49:31,0,30,0,30
2022-05-18T07:59:39,0,30,0,30
2022-05-18T08:09:47,0,30,0,30
2022-05-18T08:19:55,0,30,0,30
2022-05-18T08:30:04,0,30,0,30
2022-05-18T08:40:13,0,30,0,30
2022-05-18T08:50:22,0,30,0,30
2022-05-18T09:00:31,0,30,0,30
2022-05-18T09:10:52,0,30,0,30
2022-05-18T09:21:01,0,30,0,30
2022-05-18T09:31:10,0,30,0,30
2022-05-18T09:41:19,0,30,0,30
2022-05-18T09:51:28,0,30,0,30
2022-05-18T10:01:40,0,30,0,30
2022-05-18T10:11:52,0,30,0,30
2022-05-18T10:22:03,0,30,0,30
2022-05-18T10:32:13,0,30,0,30
2022-05-18T10:42:36,0,30,0,30
2022-05-18T10:52:45,0,30,0,30
2022-05-18T11:02:56,0,30,0,30
2022-05-18T11:13:06,0,30,0,30
2022-05-18T11:23:14,0,30,0,30
2022-05-18T11:33:24,0,30,0,30
2022-05-18T11:43:32,0,30,0,30
2022-05-18T11:53:52,0,30,0,30
2022-05-18T12:04:00,0,30,0,30
2022-05-18T12:14:08,0,30,0,30
2022-05-18T12:24:17,0,30,0,30
2022-05-18T12:34:28,0,30,0,30
2022-05-18T12:44:38,0,30,0,30
2022-05-18T12:54:48,0,30,0,30
2022-05-18T13:04:58,0,30,0,30
2022-05-18T13:15:19,0,30,0,30
2022-05-18T13:25:29,0,30,0,30
2022-05-18T13:35:40,0,30,0,30
2022-05-18T13:45:51,0,30,0,30
2022-05-18T13:56:02,0,30,0,30
2022-05-18T14:06:12,0,30,0,30
2022-05-18T14:16:22,0,30,0,30
2022-05-18T14:26:44,0,30,0,30
2022-05-18T14:36:54,0,30,0,30
2022-05-18T14:47:04,0,30,0,30
2022-05-18T14:57:15,0,30,0,30
2022-05-18T15:07:27,0,30,0,30
2022-05-18T15:17:38,0,30,0,30
2022-05-18T15:27:48,0,30,0,30
2022-05-18T15:38:09,0,30,0,30
2022-05-18T15:48:20,0,30,0,30
2022-05-18T15:58:31,0,30,0,30
2022-05-18T16:08:42,0,30,0,30
2022-05-18T16:18:53,0,30,0,30
2022-05-18T16:29:03,0,30,0,30
2022-05-18T16:39:13,0,30,0,30
2022-05-18T16:49:23,0,30,0,30
2022-05-18T16:59:43,0,30,0,30
2022-05-18T17:09:53,0,30,0,30
2022-05-18T17:20:03,0,30,0,30
2022-05-18T17:30:12,0,30,0,30
2022-05-18T17:40:22,0,30,0,30
2022-05-18T17:50:31,0,30,0,30
2022-05-18T18:00:40,0,30,0,30
2022-05-18T18:10:49,0,30,0,30
2022-05-18T18:21:00,0,30,0,30
2022-05-18T18:31:10,0,30,0,30
2022-05-18T18:41:29,0,30,0,30
2022-05-18T18:51:38,0,30,0,30
2022-05-18T19:01:47,0,30,0,30
2022-05-18T19:11:56,0,30,0,30
2022-05-18T19:22:05,0,30,0,30
2022-05-18T19:32:14,0,30,0,30
2022-05-18T19:42:23,0,30,0,30
2022-05-18T19:52:32,0,30,0,30
2022-05-18T20:02:42,0,30,0,30
2022-05-18T20:12:50,0,30,0,30
2022-05-18T20:23:10,0,30,0,30
2022-05-18T20:33:18,0,30,0,30
2022-05-18T20:43:27,0,30,0,30
2022-05-18T20:53:36,0,30,0,30
2022-05-18T21:03:47,0,30,0,30
2022-05-18T21:13:55,0,30,0,30
2022-05-18T21:24:04,0,30,0,30
2022-05-18T21:34:13,0,30,0,30
2022-05-18T21:44:22,0,30,0,30
2022-05-18T21:54:41,0,30,0,30
2022-05-18T22:04:50,0,30,0,30
2022-05-18T22:14:59,0,30,0,30
2022-05-18T22:25:08,0,30,0,30
2022-05-18T22:35:17,0,30,0,30
2022-05-18T22:45:26,0,30,0,30
2022-05-18T22:55:35,0,30,0,30
2022-05-18T23:05:45,0,30,0,30
2022-05-18T23:15:54,0,30,0,30
2022-05-18T23:26:05,0,30,0,30
2022-05-18T23:36:27,0,30,0,30
2022-05-18T23:46:36,0,30,0,30
2022-05-18T23:56:44,0,30,0,30
2022-05-19T00:06:56,0,30,0,30
2022-05-19T00:17:08,0,30,0,30
2022-05-19T00:27:20,0,30,0,30
2022-05-19T00:37:36,0,30,0,30
