time,enrolled,available,waitlisted,total,normalized_available,normalized_waitlisted,normalized_enrolled
2022-04-09T19:36:03,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T19:53:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T20:10:24,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T20:27:42,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T20:44:52,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T21:02:03,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T21:19:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T21:36:25,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T21:53:35,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T22:10:46,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T22:28:03,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T22:45:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T23:02:25,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T23:19:36,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T23:36:46,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-09T23:53:57,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T00:11:08,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T00:28:19,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T00:45:30,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T01:02:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T01:19:59,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T01:37:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T01:54:20,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T02:11:31,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T02:28:42,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T02:45:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T03:03:05,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T03:20:17,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T03:37:35,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T03:54:47,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T04:20:37,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T04:38:04,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T04:55:16,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T05:12:28,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T05:29:39,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T05:46:50,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T06:04:02,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T06:21:22,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T06:38:37,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T06:55:48,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T07:12:59,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T07:30:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T07:47:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T08:04:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T08:21:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T08:38:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T08:56:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T09:13:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T09:30:44,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T09:47:56,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T10:05:08,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T10:22:19,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T10:39:30,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T10:56:41,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T11:13:52,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T11:31:11,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T11:48:22,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T12:05:33,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T12:22:44,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T12:39:55,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T12:57:06,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T13:14:17,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T13:31:35,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T13:48:46,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T14:05:57,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T14:23:07,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T14:40:18,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T14:57:46,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T15:14:56,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T15:32:07,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T15:49:18,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T16:06:29,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T16:23:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T16:40:59,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T16:58:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T17:15:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T17:32:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T17:49:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T18:06:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T18:24:09,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T18:41:19,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T18:58:30,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T19:15:41,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T19:32:51,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T19:50:09,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T20:07:20,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T20:24:30,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T20:41:41,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T20:58:52,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T21:16:07,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T21:33:18,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T21:50:28,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T22:07:39,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T22:24:50,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T22:42:01,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T22:59:25,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T23:16:37,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T23:33:48,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-10T23:50:59,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T00:08:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T00:25:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T00:42:38,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T00:59:50,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T01:17:01,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T01:34:13,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T01:51:24,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T02:08:41,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T02:26:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T02:43:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T03:00:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T03:17:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T03:34:53,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T03:52:04,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T04:09:16,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T04:27:57,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T04:45:27,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T05:02:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T05:19:52,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T05:37:03,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T05:54:15,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T06:11:28,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T06:28:39,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T06:45:50,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T07:03:01,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T07:20:12,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T07:37:29,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T07:54:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T08:11:51,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T08:29:02,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T08:46:13,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T09:03:24,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T09:20:36,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T09:37:55,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T09:55:06,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T10:12:17,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T10:29:28,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T10:46:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T11:03:58,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T11:21:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T11:38:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T11:55:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T12:12:51,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T12:30:02,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T12:47:13,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T13:04:24,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T13:21:44,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T13:38:55,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T13:56:07,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T14:13:19,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T14:30:30,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T14:47:52,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T15:05:03,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T15:22:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T15:39:25,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T15:56:42,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T16:13:53,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T16:31:04,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T16:48:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T17:05:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T17:22:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T17:39:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T17:57:05,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T18:14:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T18:31:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T18:48:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T19:05:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T19:23:05,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T19:40:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T19:57:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T20:14:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T20:31:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T20:49:13,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T21:06:31,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T21:23:41,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T21:41:03,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T21:58:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T22:15:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T22:32:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T22:49:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T23:07:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T23:24:20,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T23:41:31,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-11T23:58:51,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T00:16:02,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T00:33:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T00:50:34,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T01:07:45,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T01:24:56,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T01:42:07,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T01:59:18,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T02:16:29,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T02:33:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T02:50:59,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T03:08:11,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T03:25:22,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T03:42:34,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T03:59:45,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T04:17:05,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T04:34:16,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T04:51:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T05:08:51,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T05:26:02,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T05:43:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T06:00:25,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T06:17:36,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T06:34:47,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T06:52:07,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T07:09:18,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T07:26:29,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T07:43:45,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T08:00:56,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T08:18:07,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T08:35:19,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T08:52:30,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T09:09:41,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T09:26:53,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T09:44:13,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T10:01:24,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T10:18:35,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T10:35:46,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T10:53:08,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T11:10:19,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T11:27:31,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T11:44:48,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T12:01:59,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T12:19:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T12:36:29,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T12:53:40,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T13:10:52,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T13:28:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T13:45:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T14:02:33,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T14:19:44,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T14:37:04,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T14:54:16,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T15:11:27,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T15:28:38,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T15:45:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T16:03:05,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T16:20:16,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T16:37:27,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T16:54:42,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T17:11:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T17:29:05,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T17:46:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T18:03:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T18:20:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T18:37:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T18:55:12,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T19:12:23,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T19:29:34,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T19:46:52,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T20:04:03,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T20:21:14,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T20:38:25,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T20:55:37,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T21:12:53,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T21:30:04,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T21:47:17,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T22:04:28,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T22:21:39,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T22:38:50,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T22:56:10,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T23:13:21,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T23:30:32,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-12T23:47:43,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T00:04:54,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T00:22:05,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T00:39:16,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T00:56:35,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T01:13:46,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T01:30:57,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T01:48:08,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T02:05:20,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T02:22:31,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T02:39:42,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T02:56:53,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
2022-04-13T03:14:04,3,19995,0,19998,0.9998499849984999,0.0,0.00015001500150015003
