time,available,waitlisted,total,normalized_available,normalized_waitlisted
2022-02-12T07:10:52,70,0,70,1.0,0.0
2022-02-12T07:19:06,70,0,70,1.0,0.0
2022-02-12T07:27:14,70,0,70,1.0,0.0
2022-02-12T07:35:21,70,0,70,1.0,0.0
2022-02-12T07:43:28,70,0,70,1.0,0.0
2022-02-12T07:51:36,70,0,70,1.0,0.0
2022-02-12T07:59:44,70,0,70,1.0,0.0
2022-02-12T08:07:52,70,0,70,1.0,0.0
2022-02-12T08:15:59,70,0,70,1.0,0.0
2022-02-12T08:24:07,70,0,70,1.0,0.0
2022-02-12T08:32:14,70,0,70,1.0,0.0
2022-02-12T08:40:30,70,0,70,1.0,0.0
2022-02-12T08:48:37,70,0,70,1.0,0.0
2022-02-12T08:56:44,70,0,70,1.0,0.0
2022-02-12T09:04:52,70,0,70,1.0,0.0
2022-02-12T09:12:59,70,0,70,1.0,0.0
2022-02-12T09:21:07,70,0,70,1.0,0.0
2022-02-12T09:29:14,70,0,70,1.0,0.0
2022-02-12T09:37:21,70,0,70,1.0,0.0
2022-02-12T09:45:29,70,0,70,1.0,0.0
2022-02-12T09:53:36,70,0,70,1.0,0.0
2022-02-12T10:01:44,70,0,70,1.0,0.0
2022-02-12T10:09:51,70,0,70,1.0,0.0
2022-02-12T10:17:59,70,0,70,1.0,0.0
2022-02-12T10:26:06,70,0,70,1.0,0.0
2022-02-12T10:34:22,70,0,70,1.0,0.0
2022-02-12T10:42:29,70,0,70,1.0,0.0
2022-02-12T10:50:37,70,0,70,1.0,0.0
2022-02-12T10:58:44,70,0,70,1.0,0.0
2022-02-12T11:06:52,70,0,70,1.0,0.0
2022-02-12T11:15:00,70,0,70,1.0,0.0
2022-02-12T11:23:07,70,0,70,1.0,0.0
2022-02-12T11:31:15,70,0,70,1.0,0.0
2022-02-12T11:39:22,70,0,70,1.0,0.0
2022-02-12T11:47:30,70,0,70,1.0,0.0
2022-02-12T11:55:46,70,0,70,1.0,0.0
2022-02-12T12:03:54,70,0,70,1.0,0.0
2022-02-12T12:12:01,70,0,70,1.0,0.0
2022-02-12T12:20:09,70,0,70,1.0,0.0
2022-02-12T12:28:16,70,0,70,1.0,0.0
2022-02-12T12:36:24,70,0,70,1.0,0.0
2022-02-12T12:44:31,70,0,70,1.0,0.0
2022-02-12T12:52:45,70,0,70,1.0,0.0
2022-02-12T13:00:53,70,0,70,1.0,0.0
2022-02-12T13:09:00,70,0,70,1.0,0.0
2022-02-12T13:17:08,70,0,70,1.0,0.0
2022-02-12T13:25:15,70,0,70,1.0,0.0
2022-02-12T13:33:23,70,0,70,1.0,0.0
2022-02-12T13:41:30,70,0,70,1.0,0.0
2022-02-12T13:49:38,70,0,70,1.0,0.0
2022-02-12T13:57:45,70,0,70,1.0,0.0
2022-02-12T14:05:52,70,0,70,1.0,0.0
2022-02-12T14:14:00,70,0,70,1.0,0.0
2022-02-12T14:22:07,70,0,70,1.0,0.0
2022-02-12T14:30:25,70,0,70,1.0,0.0
2022-02-12T14:38:32,70,0,70,1.0,0.0
2022-02-12T14:46:40,70,0,70,1.0,0.0
2022-02-12T14:54:48,70,0,70,1.0,0.0
2022-02-12T15:02:55,70,0,70,1.0,0.0
2022-02-12T15:11:03,70,0,70,1.0,0.0
2022-02-12T15:19:11,70,0,70,1.0,0.0
2022-02-12T15:27:19,70,0,70,1.0,0.0
2022-02-12T15:35:27,70,0,70,1.0,0.0
2022-02-12T15:43:35,70,0,70,1.0,0.0
2022-02-12T15:51:50,70,0,70,1.0,0.0
2022-02-12T15:59:57,70,0,70,1.0,0.0
2022-02-12T16:08:04,70,0,70,1.0,0.0
2022-02-12T16:16:12,70,0,70,1.0,0.0
2022-02-12T16:24:20,70,0,70,1.0,0.0
2022-02-12T16:32:27,70,0,70,1.0,0.0
2022-02-12T16:40:34,70,0,70,1.0,0.0
2022-02-12T16:48:42,70,0,70,1.0,0.0
2022-02-12T16:56:49,70,0,70,1.0,0.0
2022-02-12T17:04:57,70,0,70,1.0,0.0
2022-02-12T17:13:14,70,0,70,1.0,0.0
2022-02-12T17:21:21,70,0,70,1.0,0.0
2022-02-12T17:29:29,70,0,70,1.0,0.0
2022-02-12T17:37:36,70,0,70,1.0,0.0
2022-02-12T17:45:44,70,0,70,1.0,0.0
2022-02-12T17:53:51,70,0,70,1.0,0.0
2022-02-12T18:01:59,70,0,70,1.0,0.0
2022-02-12T18:10:06,70,0,70,1.0,0.0
2022-02-12T18:18:21,70,0,70,1.0,0.0
2022-02-12T18:26:28,70,0,70,1.0,0.0
2022-02-12T18:34:36,70,0,70,1.0,0.0
2022-02-12T18:42:43,70,0,70,1.0,0.0
2022-02-12T18:50:50,70,0,70,1.0,0.0
2022-02-12T18:58:58,70,0,70,1.0,0.0
2022-02-12T19:07:06,70,0,70,1.0,0.0
2022-02-12T19:15:13,70,0,70,1.0,0.0
2022-02-12T19:23:20,70,0,70,1.0,0.0
2022-02-12T19:31:28,70,0,70,1.0,0.0
2022-02-12T19:39:35,70,0,70,1.0,0.0
2022-02-12T19:47:51,70,0,70,1.0,0.0
2022-02-12T19:55:58,70,0,70,1.0,0.0
2022-02-12T20:04:06,70,0,70,1.0,0.0
2022-02-12T20:12:13,70,0,70,1.0,0.0
2022-02-12T20:20:21,70,0,70,1.0,0.0
2022-02-12T20:28:28,70,0,70,1.0,0.0
2022-02-12T20:36:36,70,0,70,1.0,0.0
2022-02-12T20:44:43,70,0,70,1.0,0.0
2022-02-12T20:52:51,70,0,70,1.0,0.0
2022-02-12T21:00:58,70,0,70,1.0,0.0
2022-02-12T21:09:06,70,0,70,1.0,0.0
2022-02-12T21:17:14,70,0,70,1.0,0.0
2022-02-12T21:25:30,70,0,70,1.0,0.0
2022-02-12T21:33:37,70,0,70,1.0,0.0
2022-02-12T21:41:44,70,0,70,1.0,0.0
2022-02-12T21:49:52,70,0,70,1.0,0.0
2022-02-12T21:57:59,70,0,70,1.0,0.0
2022-02-12T22:06:07,70,0,70,1.0,0.0
2022-02-12T22:14:14,70,0,70,1.0,0.0
2022-02-12T22:22:21,70,0,70,1.0,0.0
2022-02-12T22:30:29,70,0,70,1.0,0.0
2022-02-12T22:38:36,70,0,70,1.0,0.0
2022-02-12T22:46:44,70,0,70,1.0,0.0
2022-02-12T22:54:51,70,0,70,1.0,0.0
2022-02-12T23:03:09,70,0,70,1.0,0.0
2022-02-12T23:11:17,70,0,70,1.0,0.0
2022-02-12T23:19:24,70,0,70,1.0,0.0
2022-02-12T23:27:32,70,0,70,1.0,0.0
2022-02-12T23:35:39,70,0,70,1.0,0.0
2022-02-13T00:44:19,70,0,70,1.0,0.0
2022-02-13T00:52:27,70,0,70,1.0,0.0
2022-02-13T01:00:34,70,0,70,1.0,0.0
2022-02-13T01:08:42,70,0,70,1.0,0.0
2022-02-13T01:16:49,70,0,70,1.0,0.0
2022-02-13T01:25:05,70,0,70,1.0,0.0
2022-02-13T01:33:12,70,0,70,1.0,0.0
2022-02-13T01:41:20,70,0,70,1.0,0.0
2022-02-13T01:49:27,70,0,70,1.0,0.0
2022-02-13T01:57:34,70,0,70,1.0,0.0
2022-02-13T02:05:42,70,0,70,1.0,0.0
2022-02-13T02:13:49,70,0,70,1.0,0.0
2022-02-13T02:21:57,70,0,70,1.0,0.0
2022-02-13T02:30:05,70,0,70,1.0,0.0
2022-02-13T02:38:14,70,0,70,1.0,0.0
2022-02-13T02:46:22,70,0,70,1.0,0.0
2022-02-13T02:54:30,70,0,70,1.0,0.0
2022-02-13T03:02:38,70,0,70,1.0,0.0
2022-02-13T03:10:46,70,0,70,1.0,0.0
2022-02-13T03:18:54,70,0,70,1.0,0.0
2022-02-13T03:27:02,70,0,70,1.0,0.0
2022-02-13T03:35:09,70,0,70,1.0,0.0
2022-02-13T03:43:17,70,0,70,1.0,0.0
2022-02-13T03:51:25,70,0,70,1.0,0.0
2022-02-13T03:59:33,70,0,70,1.0,0.0
2022-02-13T04:28:59,70,0,70,1.0,0.0
2022-02-13T04:37:26,70,0,70,1.0,0.0
2022-02-13T04:45:34,70,0,70,1.0,0.0
2022-02-13T04:53:42,70,0,70,1.0,0.0
2022-02-13T05:01:50,70,0,70,1.0,0.0
2022-02-13T05:09:58,70,0,70,1.0,0.0
2022-02-13T05:18:06,70,0,70,1.0,0.0
2022-02-13T05:26:14,70,0,70,1.0,0.0
2022-02-13T05:34:22,70,0,70,1.0,0.0
2022-02-13T05:42:30,70,0,70,1.0,0.0
2022-02-13T05:50:38,70,0,70,1.0,0.0
2022-02-13T05:58:46,70,0,70,1.0,0.0
2022-02-13T06:06:54,70,0,70,1.0,0.0
2022-02-13T06:15:01,70,0,70,1.0,0.0
2022-02-13T06:23:09,70,0,70,1.0,0.0
2022-02-13T06:31:17,70,0,70,1.0,0.0
2022-02-13T06:39:25,70,0,70,1.0,0.0
2022-02-13T06:47:33,70,0,70,1.0,0.0
2022-02-13T06:55:40,70,0,70,1.0,0.0
2022-02-13T07:03:48,70,0,70,1.0,0.0
2022-02-13T07:11:55,70,0,70,1.0,0.0
2022-02-13T07:20:03,70,0,70,1.0,0.0
2022-02-13T07:28:10,70,0,70,1.0,0.0
2022-02-13T07:36:18,70,0,70,1.0,0.0
2022-02-13T07:44:25,70,0,70,1.0,0.0
2022-02-13T07:52:33,70,0,70,1.0,0.0
2022-02-13T08:00:40,70,0,70,1.0,0.0
2022-02-13T08:08:48,70,0,70,1.0,0.0
2022-02-13T08:16:55,70,0,70,1.0,0.0
2022-02-13T08:25:03,70,0,70,1.0,0.0
2022-02-13T08:33:11,70,0,70,1.0,0.0
2022-02-13T08:41:19,70,0,70,1.0,0.0
2022-02-13T08:49:26,70,0,70,1.0,0.0
2022-02-13T08:57:34,70,0,70,1.0,0.0
2022-02-13T09:05:41,70,0,70,1.0,0.0
2022-02-13T09:13:49,70,0,70,1.0,0.0
2022-02-13T09:21:56,70,0,70,1.0,0.0
2022-02-13T09:30:24,70,0,70,1.0,0.0
2022-02-13T09:38:31,70,0,70,1.0,0.0
2022-02-13T09:46:39,70,0,70,1.0,0.0
2022-02-13T09:54:46,70,0,70,1.0,0.0
