time,available,waitlisted,total,normalized
2022-02-12T07:05:31,115,0,115,1.0
2022-02-12T07:13:39,115,0,115,1.0
2022-02-12T07:21:53,115,0,115,1.0
2022-02-12T07:30:00,115,0,115,1.0
2022-02-12T07:38:08,115,0,115,1.0
2022-02-12T07:46:15,115,0,115,1.0
2022-02-12T07:54:23,115,0,115,1.0
2022-02-12T08:02:31,115,0,115,1.0
2022-02-12T08:10:38,115,0,115,1.0
2022-02-12T08:18:46,115,0,115,1.0
2022-02-12T08:26:53,115,0,115,1.0
2022-02-12T08:35:01,115,0,115,1.0
2022-02-12T08:43:16,115,0,115,1.0
2022-02-12T08:51:24,115,0,115,1.0
2022-02-12T08:59:31,115,0,115,1.0
2022-02-12T09:07:38,115,0,115,1.0
2022-02-12T09:15:46,115,0,115,1.0
2022-02-12T09:23:53,115,0,115,1.0
2022-02-12T09:32:00,115,0,115,1.0
2022-02-12T09:40:08,115,0,115,1.0
2022-02-12T09:48:15,115,0,115,1.0
2022-02-12T09:56:23,115,0,115,1.0
2022-02-12T10:04:30,115,0,115,1.0
2022-02-12T10:12:38,115,0,115,1.0
2022-02-12T10:20:45,115,0,115,1.0
2022-02-12T10:28:53,115,0,115,1.0
2022-02-12T10:37:08,115,0,115,1.0
2022-02-12T10:45:16,115,0,115,1.0
2022-02-12T10:53:23,115,0,115,1.0
2022-02-12T11:01:31,115,0,115,1.0
2022-02-12T11:09:38,115,0,115,1.0
2022-02-12T11:17:46,115,0,115,1.0
2022-02-12T11:25:54,115,0,115,1.0
2022-02-12T11:34:01,115,0,115,1.0
2022-02-12T11:42:09,115,0,115,1.0
2022-02-12T11:50:25,115,0,115,1.0
2022-02-12T11:58:33,115,0,115,1.0
2022-02-12T12:06:40,115,0,115,1.0
2022-02-12T12:14:48,115,0,115,1.0
2022-02-12T12:22:55,115,0,115,1.0
2022-02-12T12:31:03,115,0,115,1.0
2022-02-12T12:39:10,115,0,115,1.0
2022-02-12T12:47:24,115,0,115,1.0
2022-02-12T12:55:32,115,0,115,1.0
2022-02-12T13:03:39,115,0,115,1.0
2022-02-12T13:11:47,115,0,115,1.0
2022-02-12T13:19:54,115,0,115,1.0
2022-02-12T13:28:02,115,0,115,1.0
2022-02-12T13:36:09,115,0,115,1.0
2022-02-12T13:44:17,115,0,115,1.0
2022-02-12T13:52:24,115,0,115,1.0
2022-02-12T14:00:31,115,0,115,1.0
2022-02-12T14:08:39,115,0,115,1.0
2022-02-12T14:16:46,115,0,115,1.0
2022-02-12T14:24:54,115,0,115,1.0
2022-02-12T14:33:12,115,0,115,1.0
2022-02-12T14:41:19,115,0,115,1.0
2022-02-12T14:49:27,115,0,115,1.0
2022-02-12T14:57:34,115,0,115,1.0
2022-02-12T15:05:42,115,0,115,1.0
2022-02-12T15:13:50,115,0,115,1.0
2022-02-12T15:21:57,115,0,115,1.0
2022-02-12T15:30:05,115,0,115,1.0
2022-02-12T15:38:14,115,0,115,1.0
2022-02-12T15:46:29,115,0,115,1.0
2022-02-12T15:54:36,115,0,115,1.0
2022-02-12T16:02:44,115,0,115,1.0
2022-02-12T16:10:51,115,0,115,1.0
2022-02-12T16:18:59,115,0,115,1.0
2022-02-12T16:27:06,115,0,115,1.0
2022-02-12T16:35:14,115,0,115,1.0
2022-02-12T16:43:21,115,0,115,1.0
2022-02-12T16:51:29,115,0,115,1.0
2022-02-12T16:59:36,115,0,115,1.0
2022-02-12T17:07:53,115,0,115,1.0
2022-02-12T17:16:00,115,0,115,1.0
2022-02-12T17:24:08,115,0,115,1.0
2022-02-12T17:32:15,115,0,115,1.0
2022-02-12T17:40:23,115,0,115,1.0
2022-02-12T17:48:30,115,0,115,1.0
2022-02-12T17:56:38,115,0,115,1.0
2022-02-12T18:04:45,115,0,115,1.0
2022-02-12T18:12:53,115,0,115,1.0
2022-02-12T18:21:07,115,0,115,1.0
2022-02-12T18:29:15,115,0,115,1.0
2022-02-12T18:37:22,115,0,115,1.0
2022-02-12T18:45:30,115,0,115,1.0
2022-02-12T18:53:37,115,0,115,1.0
2022-02-12T19:01:45,115,0,115,1.0
2022-02-12T19:09:52,115,0,115,1.0
2022-02-12T19:18:00,115,0,115,1.0
2022-02-12T19:26:07,115,0,115,1.0
2022-02-12T19:34:15,115,0,115,1.0
2022-02-12T19:42:30,115,0,115,1.0
2022-02-12T19:50:38,115,0,115,1.0
2022-02-12T19:58:45,115,0,115,1.0
2022-02-12T20:06:52,115,0,115,1.0
2022-02-12T20:15:00,115,0,115,1.0
2022-02-12T20:23:07,115,0,115,1.0
2022-02-12T20:31:15,115,0,115,1.0
2022-02-12T20:39:22,115,0,115,1.0
2022-02-12T20:47:30,115,0,115,1.0
2022-02-12T20:55:37,115,0,115,1.0
2022-02-12T21:03:45,115,0,115,1.0
2022-02-12T21:11:53,115,0,115,1.0
2022-02-12T21:20:09,115,0,115,1.0
2022-02-12T21:28:16,115,0,115,1.0
2022-02-12T21:36:24,115,0,115,1.0
2022-02-12T21:44:31,115,0,115,1.0
2022-02-12T21:52:38,115,0,115,1.0
2022-02-12T22:00:46,115,0,115,1.0
2022-02-12T22:08:53,115,0,115,1.0
2022-02-12T22:17:01,115,0,115,1.0
2022-02-12T22:25:08,115,0,115,1.0
2022-02-12T22:33:15,115,0,115,1.0
2022-02-12T22:41:23,115,0,115,1.0
2022-02-12T22:49:30,115,0,115,1.0
2022-02-12T22:57:38,115,0,115,1.0
2022-02-12T23:05:56,115,0,115,1.0
2022-02-12T23:14:03,115,0,115,1.0
2022-02-12T23:22:11,115,0,115,1.0
2022-02-12T23:30:18,115,0,115,1.0
2022-02-12T23:38:26,115,0,115,1.0
2022-02-13T00:38:58,115,0,115,1.0
2022-02-13T00:47:06,115,0,115,1.0
2022-02-13T00:55:13,115,0,115,1.0
2022-02-13T01:03:21,115,0,115,1.0
2022-02-13T01:11:29,115,0,115,1.0
2022-02-13T01:19:44,115,0,115,1.0
2022-02-13T01:27:52,115,0,115,1.0
2022-02-13T01:35:59,115,0,115,1.0
2022-02-13T01:44:06,115,0,115,1.0
2022-02-13T01:52:14,115,0,115,1.0
2022-02-13T02:00:21,115,0,115,1.0
2022-02-13T02:08:28,115,0,115,1.0
2022-02-13T02:16:36,115,0,115,1.0
2022-02-13T02:24:44,115,0,115,1.0
2022-02-13T02:32:52,115,0,115,1.0
2022-02-13T02:41:00,115,0,115,1.0
2022-02-13T02:49:08,115,0,115,1.0
2022-02-13T02:57:16,115,0,115,1.0
2022-02-13T03:05:25,115,0,115,1.0
2022-02-13T03:13:33,115,0,115,1.0
2022-02-13T03:21:41,115,0,115,1.0
2022-02-13T03:29:48,115,0,115,1.0
2022-02-13T03:37:56,115,0,115,1.0
2022-02-13T03:46:04,115,0,115,1.0
2022-02-13T03:54:12,115,0,115,1.0
2022-02-13T04:02:19,115,0,115,1.0
2022-02-13T04:22:32,115,0,115,1.0
2022-02-13T04:32:04,115,0,115,1.0
2022-02-13T04:40:12,115,0,115,1.0
2022-02-13T04:48:20,115,0,115,1.0
2022-02-13T04:56:29,115,0,115,1.0
2022-02-13T05:04:37,115,0,115,1.0
2022-02-13T05:12:45,115,0,115,1.0
2022-02-13T05:20:53,115,0,115,1.0
2022-02-13T05:29:01,115,0,115,1.0
2022-02-13T05:37:09,115,0,115,1.0
2022-02-13T05:45:17,115,0,115,1.0
2022-02-13T05:53:25,115,0,115,1.0
2022-02-13T06:01:32,115,0,115,1.0
2022-02-13T06:09:40,115,0,115,1.0
2022-02-13T06:17:48,115,0,115,1.0
2022-02-13T06:25:56,115,0,115,1.0
2022-02-13T06:34:04,115,0,115,1.0
2022-02-13T06:42:12,115,0,115,1.0
2022-02-13T06:50:19,115,0,115,1.0
2022-02-13T06:58:27,115,0,115,1.0
2022-02-13T07:06:34,115,0,115,1.0
2022-02-13T07:14:42,115,0,115,1.0
2022-02-13T07:22:49,115,0,115,1.0
2022-02-13T07:30:57,115,0,115,1.0
2022-02-13T07:39:04,115,0,115,1.0
2022-02-13T07:47:12,115,0,115,1.0
2022-02-13T07:55:19,115,0,115,1.0
2022-02-13T08:03:27,115,0,115,1.0
2022-02-13T08:11:34,115,0,115,1.0
2022-02-13T08:19:42,115,0,115,1.0
2022-02-13T08:27:49,115,0,115,1.0
2022-02-13T08:35:57,115,0,115,1.0
2022-02-13T08:44:05,115,0,115,1.0
2022-02-13T08:52:13,115,0,115,1.0
2022-02-13T09:00:20,115,0,115,1.0
2022-02-13T09:08:28,115,0,115,1.0
2022-02-13T09:16:35,115,0,115,1.0
2022-02-13T09:24:43,115,0,115,1.0
2022-02-13T09:33:10,115,0,115,1.0
2022-02-13T09:41:18,115,0,115,1.0
2022-02-13T09:49:25,115,0,115,1.0
2022-02-13T09:57:33,115,0,115,1.0
2022-02-13T10:05:40,115,0,115,1.0
2022-02-13T10:13:48,115,0,115,1.0
2022-02-13T10:21:55,115,0,115,1.0
2022-02-13T10:30:02,115,0,115,1.0
2022-02-13T10:38:10,115,0,115,1.0
2022-02-13T10:46:17,115,0,115,1.0
2022-02-13T10:54:25,115,0,115,1.0
2022-02-13T11:02:32,115,0,115,1.0
2022-02-13T11:10:40,115,0,115,1.0
2022-02-13T11:18:47,115,0,115,1.0
2022-02-13T11:26:55,115,0,115,1.0
2022-02-13T11:35:02,115,0,115,1.0
2022-02-13T11:43:19,115,0,115,1.0
2022-02-13T11:51:26,115,0,115,1.0
2022-02-13T11:59:34,115,0,115,1.0
2022-02-13T12:07:41,115,0,115,1.0
2022-02-13T12:15:49,115,0,115,1.0
2022-02-13T12:23:56,115,0,115,1.0
2022-02-13T12:32:04,115,0,115,1.0
2022-02-13T12:40:11,115,0,115,1.0
2022-02-13T12:48:19,115,0,115,1.0
2022-02-13T12:56:26,115,0,115,1.0
2022-02-13T13:04:34,115,0,115,1.0
2022-02-13T13:12:41,115,0,115,1.0
2022-02-13T13:20:48,115,0,115,1.0
2022-02-13T13:28:56,115,0,115,1.0
2022-02-13T13:37:12,115,0,115,1.0
2022-02-13T13:45:20,115,0,115,1.0
2022-02-13T13:53:27,115,0,115,1.0
2022-02-13T14:01:35,115,0,115,1.0
2022-02-13T14:09:42,115,0,115,1.0
2022-02-13T14:17:49,115,0,115,1.0
2022-02-13T14:25:57,115,0,115,1.0
2022-02-13T14:34:04,115,0,115,1.0
2022-02-13T14:42:12,115,0,115,1.0
2022-02-13T14:50:19,115,0,115,1.0
2022-02-13T14:58:27,115,0,115,1.0
2022-02-13T15:06:34,115,0,115,1.0
2022-02-13T15:14:57,115,0,115,1.0
2022-02-13T15:23:04,115,0,115,1.0
2022-02-13T15:31:11,115,0,115,1.0
2022-02-13T15:39:19,115,0,115,1.0
2022-02-13T15:47:26,115,0,115,1.0
2022-02-13T15:55:34,115,0,115,1.0
2022-02-13T16:03:41,115,0,115,1.0
2022-02-13T16:11:49,115,0,115,1.0
2022-02-13T16:19:56,115,0,115,1.0
2022-02-13T16:28:04,115,0,115,1.0
2022-02-13T16:36:11,115,0,115,1.0
2022-02-13T16:44:19,115,0,115,1.0
2022-02-13T16:52:26,115,0,115,1.0
2022-02-13T17:00:34,115,0,115,1.0
2022-02-13T17:08:51,115,0,115,1.0
2022-02-13T17:16:59,115,0,115,1.0
2022-02-13T17:25:06,115,0,115,1.0
2022-02-13T17:33:13,115,0,115,1.0
2022-02-13T17:41:21,115,0,115,1.0
2022-02-13T17:49:28,115,0,115,1.0
2022-02-13T17:57:36,115,0,115,1.0
2022-02-13T18:05:43,115,0,115,1.0
2022-02-13T18:14:08,115,0,115,1.0
2022-02-13T18:22:15,115,0,115,1.0
2022-02-13T18:30:23,115,0,115,1.0
2022-02-13T18:38:30,115,0,115,1.0
2022-02-13T18:46:37,115,0,115,1.0
2022-02-13T18:54:45,115,0,115,1.0
2022-02-13T19:02:52,115,0,115,1.0
2022-02-13T19:11:00,115,0,115,1.0
2022-02-13T19:19:07,115,0,115,1.0
2022-02-13T19:27:14,115,0,115,1.0
2022-02-13T19:35:22,115,0,115,1.0
2022-02-13T19:43:29,115,0,115,1.0
2022-02-13T19:51:37,115,0,115,1.0
2022-02-13T19:59:53,115,0,115,1.0
2022-02-13T20:08:00,115,0,115,1.0
2022-02-13T20:16:08,115,0,115,1.0
2022-02-13T20:24:15,115,0,115,1.0
2022-02-13T20:32:23,115,0,115,1.0
2022-02-13T20:40:30,115,0,115,1.0
2022-02-13T20:48:37,115,0,115,1.0
2022-02-13T20:56:45,115,0,115,1.0
2022-02-13T21:04:52,115,0,115,1.0
2022-02-13T21:13:00,115,0,115,1.0
2022-02-13T21:21:18,115,0,115,1.0
2022-02-13T21:29:26,115,0,115,1.0
2022-02-13T21:37:33,115,0,115,1.0
2022-02-13T21:45:41,115,0,115,1.0
2022-02-13T21:53:48,115,0,115,1.0
2022-02-13T22:01:56,115,0,115,1.0
2022-02-13T22:10:03,115,0,115,1.0
2022-02-13T22:18:11,115,0,115,1.0
2022-02-13T22:26:19,115,0,115,1.0
2022-02-13T22:34:44,115,0,115,1.0
2022-02-13T22:42:51,115,0,115,1.0
2022-02-13T22:50:59,115,0,115,1.0
2022-02-13T22:59:07,115,0,115,1.0
2022-02-13T23:07:14,115,0,115,1.0
2022-02-13T23:15:22,115,0,115,1.0
2022-02-13T23:23:29,115,0,115,1.0
2022-02-13T23:31:37,115,0,115,1.0
2022-02-13T23:39:45,115,0,115,1.0
2022-02-13T23:47:52,115,0,115,1.0
2022-02-13T23:56:10,115,0,115,1.0
2022-02-14T00:04:17,115,0,115,1.0
2022-02-14T00:12:25,115,0,115,1.0
2022-02-14T00:20:33,115,0,115,1.0
2022-02-14T00:28:40,115,0,115,1.0
2022-02-14T00:36:49,115,0,115,1.0
2022-02-14T00:44:56,115,0,115,1.0
2022-02-14T00:53:04,115,0,115,1.0
2022-02-14T01:01:11,115,0,115,1.0
2022-02-14T01:09:19,115,0,115,1.0
2022-02-14T01:17:27,115,0,115,1.0
2022-02-14T01:25:35,115,0,115,1.0
2022-02-14T01:33:43,115,0,115,1.0
2022-02-14T01:41:50,115,0,115,1.0
2022-02-14T01:50:15,115,0,115,1.0
2022-02-14T01:58:23,115,0,115,1.0
2022-02-14T02:06:31,115,0,115,1.0
2022-02-14T02:11:07,115,0,115,1.0
2022-02-14T02:19:15,115,0,115,1.0
2022-02-14T02:27:22,115,0,115,1.0
2022-02-14T02:35:30,115,0,115,1.0
2022-02-14T02:43:38,115,0,115,1.0
2022-02-14T02:51:45,115,0,115,1.0
2022-02-14T02:59:53,115,0,115,1.0
2022-02-14T03:08:00,115,0,115,1.0
2022-02-14T03:16:08,115,0,115,1.0
2022-02-14T03:24:15,115,0,115,1.0
2022-02-14T03:32:23,115,0,115,1.0
2022-02-14T03:40:31,115,0,115,1.0
2022-02-14T03:48:38,115,0,115,1.0
2022-02-14T03:56:46,115,0,115,1.0
2022-02-14T04:04:54,115,0,115,1.0
2022-02-14T04:17:16,67,0,90,0.7444444444444445
2022-02-14T04:25:25,67,0,90,0.7444444444444445
2022-02-14T04:29:38,67,0,90,0.7444444444444445
2022-02-14T04:37:48,67,0,90,0.7444444444444445
2022-02-14T04:47:26,67,0,90,0.7444444444444445
2022-02-14T04:55:34,67,0,90,0.7444444444444445
2022-02-14T05:03:42,67,0,90,0.7444444444444445
2022-02-14T05:11:50,67,0,90,0.7444444444444445
2022-02-14T05:19:58,67,0,90,0.7444444444444445
2022-02-14T05:28:07,67,0,90,0.7444444444444445
2022-02-14T05:36:14,67,0,90,0.7444444444444445
2022-02-14T05:44:22,67,0,90,0.7444444444444445
2022-02-14T05:52:30,67,0,90,0.7444444444444445
2022-02-14T06:00:37,67,0,90,0.7444444444444445
2022-02-14T06:08:45,67,0,90,0.7444444444444445
2022-02-14T06:16:53,67,0,90,0.7444444444444445
2022-02-14T06:25:01,67,0,90,0.7444444444444445
2022-02-14T06:33:09,67,0,90,0.7444444444444445
2022-02-14T06:41:17,67,0,90,0.7444444444444445
2022-02-14T06:49:25,67,0,90,0.7444444444444445
2022-02-14T06:57:33,67,0,90,0.7444444444444445
2022-02-14T07:05:40,67,0,90,0.7444444444444445
2022-02-14T07:13:48,67,0,90,0.7444444444444445
2022-02-14T07:21:56,67,0,90,0.7444444444444445
2022-02-14T07:30:03,67,0,90,0.7444444444444445
2022-02-14T07:38:11,67,0,90,0.7444444444444445
2022-02-14T07:46:19,67,0,90,0.7444444444444445
2022-02-14T07:54:26,67,0,90,0.7444444444444445
2022-02-14T08:02:34,67,0,90,0.7444444444444445
2022-02-14T08:10:41,67,0,90,0.7444444444444445
2022-02-14T08:18:49,67,0,90,0.7444444444444445
2022-02-14T08:26:57,67,0,90,0.7444444444444445
2022-02-14T08:35:13,67,0,90,0.7444444444444445
2022-02-14T08:43:21,67,0,90,0.7444444444444445
2022-02-14T08:51:28,67,0,90,0.7444444444444445
2022-02-14T08:59:36,67,0,90,0.7444444444444445
2022-02-14T09:07:44,67,0,90,0.7444444444444445
2022-02-14T09:15:51,67,0,90,0.7444444444444445
2022-02-14T09:23:59,67,0,90,0.7444444444444445
2022-02-14T09:32:07,67,0,90,0.7444444444444445
2022-02-14T09:40:15,67,0,90,0.7444444444444445
2022-02-14T09:48:22,67,0,90,0.7444444444444445
2022-02-14T09:56:30,67,0,90,0.7444444444444445
2022-02-14T10:04:38,67,0,90,0.7444444444444445
2022-02-14T10:12:59,67,0,90,0.7444444444444445
2022-02-14T10:21:07,67,0,90,0.7444444444444445
2022-02-14T10:29:14,67,0,90,0.7444444444444445
2022-02-14T10:37:23,67,0,90,0.7444444444444445
2022-02-14T10:45:31,67,0,90,0.7444444444444445
2022-02-14T10:53:39,67,0,90,0.7444444444444445
2022-02-14T11:01:48,67,0,90,0.7444444444444445
2022-02-14T11:10:04,67,0,90,0.7444444444444445
2022-02-14T11:18:12,67,0,90,0.7444444444444445
2022-02-14T11:26:21,67,0,90,0.7444444444444445
2022-02-14T11:34:29,67,0,90,0.7444444444444445
2022-02-14T11:42:37,67,0,90,0.7444444444444445
2022-02-14T11:50:45,67,0,90,0.7444444444444445
2022-02-14T11:59:02,67,0,90,0.7444444444444445
2022-02-14T12:07:10,66,0,90,0.7333333333333333
2022-02-14T12:15:18,66,0,90,0.7333333333333333
2022-02-14T12:23:26,66,0,90,0.7333333333333333
2022-02-14T12:31:33,66,0,90,0.7333333333333333
2022-02-14T12:39:41,66,0,90,0.7333333333333333
2022-02-14T12:47:58,66,0,90,0.7333333333333333
2022-02-14T12:56:06,65,0,90,0.7222222222222222
2022-02-14T13:04:14,65,0,90,0.7222222222222222
2022-02-14T13:12:22,65,0,90,0.7222222222222222
2022-02-14T13:20:30,65,0,90,0.7222222222222222
2022-02-14T13:28:47,65,0,90,0.7222222222222222
2022-02-14T13:36:55,65,0,90,0.7222222222222222
2022-02-14T13:45:03,65,0,90,0.7222222222222222
2022-02-14T13:53:11,65,0,90,0.7222222222222222
2022-02-14T14:01:19,65,0,90,0.7222222222222222
2022-02-14T14:09:36,65,0,90,0.7222222222222222
2022-02-14T14:17:44,65,0,90,0.7222222222222222
