time,available,waitlisted,total,normalized_available,normalized_waitlisted
2022-03-10T15:17:29,20,0,20,1.0,0.0
2022-03-10T15:26:01,20,0,20,1.0,0.0
2022-03-10T15:34:33,20,0,20,1.0,0.0
2022-03-10T15:43:05,20,0,20,1.0,0.0
2022-03-10T15:51:46,20,0,20,1.0,0.0
2022-03-10T16:00:18,20,0,20,1.0,0.0
2022-03-10T16:08:50,20,0,20,1.0,0.0
2022-03-10T16:17:22,20,0,20,1.0,0.0
2022-03-10T16:25:54,20,0,20,1.0,0.0
2022-03-10T16:34:26,20,0,20,1.0,0.0
2022-03-10T16:42:58,20,0,20,1.0,0.0
2022-03-10T16:51:30,20,0,20,1.0,0.0
2022-03-10T17:00:02,20,0,20,1.0,0.0
2022-03-10T17:08:34,20,0,20,1.0,0.0
2022-03-10T17:17:06,20,0,20,1.0,0.0
2022-03-10T17:25:38,20,0,20,1.0,0.0
2022-03-10T17:34:10,20,0,20,1.0,0.0
2022-03-10T17:42:50,20,0,20,1.0,0.0
2022-03-10T17:51:22,20,0,20,1.0,0.0
2022-03-10T17:59:54,20,0,20,1.0,0.0
2022-03-10T18:08:26,20,0,20,1.0,0.0
2022-03-10T18:16:58,20,0,20,1.0,0.0
2022-03-10T18:25:30,20,0,20,1.0,0.0
2022-03-10T18:34:02,20,0,20,1.0,0.0
2022-03-10T18:42:33,20,0,20,1.0,0.0
2022-03-10T18:51:05,20,0,20,1.0,0.0
2022-03-10T18:59:37,20,0,20,1.0,0.0
2022-03-10T19:08:09,20,0,20,1.0,0.0
2022-03-10T19:16:41,20,0,20,1.0,0.0
2022-03-10T19:25:13,20,0,20,1.0,0.0
2022-03-10T19:33:45,20,0,20,1.0,0.0
2022-03-10T19:42:16,20,0,20,1.0,0.0
2022-03-10T19:50:48,20,0,20,1.0,0.0
2022-03-10T19:59:20,20,0,20,1.0,0.0
2022-03-10T20:07:52,20,0,20,1.0,0.0
2022-03-10T20:16:33,20,0,20,1.0,0.0
2022-03-10T20:25:05,20,0,20,1.0,0.0
2022-03-10T20:33:37,20,0,20,1.0,0.0
2022-03-10T20:42:09,20,0,20,1.0,0.0
2022-03-10T20:50:40,20,0,20,1.0,0.0
2022-03-10T21:04:00,20,0,20,1.0,0.0
2022-03-10T21:12:32,20,0,20,1.0,0.0
2022-03-10T21:21:04,20,0,20,1.0,0.0
2022-03-10T21:29:35,20,0,20,1.0,0.0
2022-03-10T21:38:07,20,0,20,1.0,0.0
2022-03-10T21:46:39,20,0,20,1.0,0.0
2022-03-10T21:55:11,20,0,20,1.0,0.0
2022-03-10T22:03:42,20,0,20,1.0,0.0
2022-03-10T22:12:14,20,0,20,1.0,0.0
2022-03-10T22:20:46,20,0,20,1.0,0.0
2022-03-10T22:29:18,20,0,20,1.0,0.0
2022-03-10T22:37:49,20,0,20,1.0,0.0
2022-03-10T22:46:21,20,0,20,1.0,0.0
2022-03-10T22:54:53,20,0,20,1.0,0.0
2022-03-10T23:03:25,20,0,20,1.0,0.0
2022-03-10T23:11:57,20,0,20,1.0,0.0
2022-03-10T23:20:29,20,0,20,1.0,0.0
2022-03-10T23:29:00,20,0,20,1.0,0.0
2022-03-10T23:37:32,20,0,20,1.0,0.0
2022-03-10T23:46:04,20,0,20,1.0,0.0
2022-03-10T23:54:44,20,0,20,1.0,0.0
2022-03-11T00:03:16,20,0,20,1.0,0.0
2022-03-11T00:11:48,20,0,20,1.0,0.0
2022-03-11T00:20:20,20,0,20,1.0,0.0
2022-03-11T00:28:52,20,0,20,1.0,0.0
2022-03-11T00:37:24,20,0,20,1.0,0.0
2022-03-11T00:45:57,20,0,20,1.0,0.0
2022-03-11T00:54:29,20,0,20,1.0,0.0
2022-03-11T01:03:01,20,0,20,1.0,0.0
2022-03-11T01:11:34,20,0,20,1.0,0.0
2022-03-11T01:20:06,20,0,20,1.0,0.0
2022-03-11T01:28:38,20,0,20,1.0,0.0
2022-03-11T01:37:10,20,0,20,1.0,0.0
2022-03-11T01:45:42,20,0,20,1.0,0.0
2022-03-11T01:54:14,20,0,20,1.0,0.0
2022-03-11T02:02:46,20,0,20,1.0,0.0
2022-03-11T02:11:18,20,0,20,1.0,0.0
2022-03-11T02:19:50,20,0,20,1.0,0.0
2022-03-11T02:28:22,20,0,20,1.0,0.0
2022-03-11T02:36:55,20,0,20,1.0,0.0
2022-03-11T02:45:27,20,0,20,1.0,0.0
2022-03-11T02:53:59,20,0,20,1.0,0.0
2022-03-11T03:02:31,20,0,20,1.0,0.0
2022-03-11T03:11:03,20,0,20,1.0,0.0
2022-03-11T03:19:35,20,0,20,1.0,0.0
2022-03-11T03:28:07,20,0,20,1.0,0.0
2022-03-11T03:36:39,20,0,20,1.0,0.0
2022-03-11T03:45:10,20,0,20,1.0,0.0
2022-03-11T03:53:42,20,0,20,1.0,0.0
2022-03-11T04:02:14,20,0,20,1.0,0.0
2022-03-11T04:10:47,20,0,20,1.0,0.0
2022-03-11T04:36:10,20,0,20,1.0,0.0
2022-03-11T04:44:43,20,0,20,1.0,0.0
2022-03-11T04:53:16,20,0,20,1.0,0.0
2022-03-11T05:01:49,20,0,20,1.0,0.0
2022-03-11T05:10:21,20,0,20,1.0,0.0
2022-03-11T05:18:54,20,0,20,1.0,0.0
2022-03-11T05:27:26,20,0,20,1.0,0.0
2022-03-11T05:35:59,20,0,20,1.0,0.0
2022-03-11T05:44:31,20,0,20,1.0,0.0
2022-03-11T05:53:04,20,0,20,1.0,0.0
2022-03-11T06:01:36,20,0,20,1.0,0.0
2022-03-11T06:10:14,20,0,20,1.0,0.0
2022-03-11T06:18:51,20,0,20,1.0,0.0
2022-03-11T06:27:23,20,0,20,1.0,0.0
2022-03-11T06:35:55,20,0,20,1.0,0.0
2022-03-11T06:44:27,20,0,20,1.0,0.0
2022-03-11T06:52:59,20,0,20,1.0,0.0
2022-03-11T07:01:31,20,0,20,1.0,0.0
2022-03-11T07:10:03,20,0,20,1.0,0.0
2022-03-11T07:18:35,20,0,20,1.0,0.0
2022-03-11T07:27:07,20,0,20,1.0,0.0
2022-03-11T07:35:39,20,0,20,1.0,0.0
2022-03-11T07:44:11,20,0,20,1.0,0.0
2022-03-11T07:52:43,20,0,20,1.0,0.0
2022-03-11T08:01:15,20,0,20,1.0,0.0
2022-03-11T08:09:47,20,0,20,1.0,0.0
2022-03-11T08:18:19,20,0,20,1.0,0.0
2022-03-11T08:26:51,20,0,20,1.0,0.0
2022-03-11T08:35:23,20,0,20,1.0,0.0
2022-03-11T08:43:55,20,0,20,1.0,0.0
2022-03-11T08:52:27,20,0,20,1.0,0.0
2022-03-11T09:00:59,20,0,20,1.0,0.0
2022-03-11T09:09:31,20,0,20,1.0,0.0
2022-03-11T09:18:03,20,0,20,1.0,0.0
2022-03-11T09:26:35,20,0,20,1.0,0.0
2022-03-11T09:35:09,20,0,20,1.0,0.0
2022-03-11T09:43:41,20,0,20,1.0,0.0
2022-03-11T09:52:13,20,0,20,1.0,0.0
2022-03-11T10:00:45,20,0,20,1.0,0.0
2022-03-11T10:09:17,20,0,20,1.0,0.0
2022-03-11T10:17:49,20,0,20,1.0,0.0
2022-03-11T10:26:21,20,0,20,1.0,0.0
2022-03-11T10:34:53,20,0,20,1.0,0.0
2022-03-11T10:43:34,20,0,20,1.0,0.0
2022-03-11T10:52:06,20,0,20,1.0,0.0
2022-03-11T11:00:38,20,0,20,1.0,0.0
2022-03-11T11:09:11,20,0,20,1.0,0.0
2022-03-11T11:17:43,20,0,20,1.0,0.0
2022-03-11T11:26:15,20,0,20,1.0,0.0
2022-03-11T11:34:47,20,0,20,1.0,0.0
2022-03-11T11:43:19,20,0,20,1.0,0.0
2022-03-11T11:51:50,20,0,20,1.0,0.0
2022-03-11T12:00:22,20,0,20,1.0,0.0
2022-03-11T12:08:54,20,0,20,1.0,0.0
2022-03-11T12:17:26,20,0,20,1.0,0.0
2022-03-11T12:25:58,20,0,20,1.0,0.0
2022-03-11T12:34:30,20,0,20,1.0,0.0
2022-03-11T12:43:10,20,0,20,1.0,0.0
2022-03-11T12:51:42,20,0,20,1.0,0.0
2022-03-11T13:00:14,20,0,20,1.0,0.0
2022-03-11T13:08:46,20,0,20,1.0,0.0
2022-03-11T13:17:18,20,0,20,1.0,0.0
2022-03-11T13:25:51,20,0,20,1.0,0.0
2022-03-11T13:34:23,20,0,20,1.0,0.0
2022-03-11T13:42:55,20,0,20,1.0,0.0
2022-03-11T13:51:27,20,0,20,1.0,0.0
2022-03-11T13:59:59,20,0,20,1.0,0.0
2022-03-11T14:08:31,20,0,20,1.0,0.0
2022-03-11T14:17:04,20,0,20,1.0,0.0
2022-03-11T14:25:45,20,0,20,1.0,0.0
2022-03-11T14:34:17,20,0,20,1.0,0.0
2022-03-11T14:42:50,20,0,20,1.0,0.0
2022-03-11T14:51:22,20,0,20,1.0,0.0
2022-03-11T14:59:55,20,0,20,1.0,0.0
2022-03-11T15:08:27,20,0,20,1.0,0.0
2022-03-11T15:16:59,20,0,20,1.0,0.0
2022-03-11T15:25:31,20,0,20,1.0,0.0
2022-03-11T15:34:04,20,0,20,1.0,0.0
2022-03-11T15:42:36,20,0,20,1.0,0.0
2022-03-11T15:51:08,20,0,20,1.0,0.0
2022-03-11T15:59:40,20,0,20,1.0,0.0
2022-03-11T16:08:12,20,0,20,1.0,0.0
2022-03-11T16:16:54,20,0,20,1.0,0.0
2022-03-11T16:25:26,20,0,20,1.0,0.0
2022-03-11T16:33:58,20,0,20,1.0,0.0
2022-03-11T16:42:30,20,0,20,1.0,0.0
2022-03-11T16:51:02,20,0,20,1.0,0.0
2022-03-11T16:59:34,20,0,20,1.0,0.0
2022-03-11T17:08:06,20,0,20,1.0,0.0
2022-03-11T17:16:38,20,0,20,1.0,0.0
