time,enrolled,available,waitlisted,total,normalized_available,normalized_waitlisted,normalized_enrolled
2022-04-25T13:47:54,0,0,0,0,-1,-1,-1
2022-04-25T13:52:43,0,0,0,0,-1,-1,-1
2022-04-25T13:57:33,0,0,0,0,-1,-1,-1
2022-04-25T14:02:22,0,0,0,0,-1,-1,-1
2022-04-25T14:07:26,0,0,0,0,-1,-1,-1
2022-04-25T14:12:15,0,0,0,0,-1,-1,-1
2022-04-25T14:17:05,0,0,0,0,-1,-1,-1
2022-04-25T14:21:54,0,0,0,0,-1,-1,-1
2022-04-25T14:26:43,0,0,0,0,-1,-1,-1
2022-04-25T14:31:33,0,0,0,0,-1,-1,-1
2022-04-25T14:36:22,0,0,0,0,-1,-1,-1
2022-04-25T14:41:12,0,0,0,0,-1,-1,-1
2022-04-25T14:46:01,0,0,0,0,-1,-1,-1
2022-04-25T14:50:50,0,0,0,0,-1,-1,-1
2022-04-25T14:55:40,0,0,0,0,-1,-1,-1
2022-04-25T15:00:29,0,0,0,0,-1,-1,-1
2022-04-25T15:05:19,0,0,0,0,-1,-1,-1
2022-04-25T15:10:08,0,0,0,0,-1,-1,-1
2022-04-25T15:14:58,0,0,0,0,-1,-1,-1
2022-04-25T15:19:47,0,0,0,0,-1,-1,-1
2022-04-25T15:24:36,0,0,0,0,-1,-1,-1
2022-04-25T15:29:26,0,0,0,0,-1,-1,-1
2022-04-25T15:34:15,0,0,0,0,-1,-1,-1
2022-04-25T15:39:04,0,0,0,0,-1,-1,-1
2022-04-25T15:43:54,0,0,0,0,-1,-1,-1
2022-04-25T15:48:43,0,0,0,0,-1,-1,-1
2022-04-25T15:53:33,0,0,0,0,-1,-1,-1
2022-04-25T15:58:22,0,0,0,0,-1,-1,-1
2022-04-25T16:03:11,0,0,0,0,-1,-1,-1
2022-04-25T16:08:01,0,0,0,0,-1,-1,-1
2022-04-25T16:12:50,0,0,0,0,-1,-1,-1
2022-04-25T16:17:40,0,0,0,0,-1,-1,-1
2022-04-25T16:22:34,0,0,0,0,-1,-1,-1
2022-04-25T16:27:24,0,0,0,0,-1,-1,-1
2022-04-25T16:32:13,0,0,0,0,-1,-1,-1
2022-04-25T16:37:02,0,0,0,0,-1,-1,-1
2022-04-25T16:41:52,0,0,0,0,-1,-1,-1
2022-04-25T16:46:41,0,0,0,0,-1,-1,-1
2022-04-25T16:51:31,0,0,0,0,-1,-1,-1
2022-04-25T16:56:20,0,0,0,0,-1,-1,-1
2022-04-25T17:01:10,0,0,0,0,-1,-1,-1
2022-04-25T17:05:59,0,0,0,0,-1,-1,-1
2022-04-25T17:10:49,0,0,0,0,-1,-1,-1
2022-04-25T17:15:38,0,0,0,0,-1,-1,-1
2022-04-25T17:20:27,0,0,0,0,-1,-1,-1
2022-04-25T17:25:17,0,0,0,0,-1,-1,-1
2022-04-25T17:30:06,0,0,0,0,-1,-1,-1
2022-04-25T17:34:56,0,0,0,0,-1,-1,-1
2022-04-25T17:39:45,0,0,0,0,-1,-1,-1
2022-04-25T17:44:34,0,0,0,0,-1,-1,-1
2022-04-25T17:49:24,0,0,0,0,-1,-1,-1
2022-04-25T17:54:13,0,0,0,0,-1,-1,-1
2022-04-25T17:59:02,0,0,0,0,-1,-1,-1
2022-04-25T18:03:52,0,0,0,0,-1,-1,-1
2022-04-25T18:08:41,0,0,0,0,-1,-1,-1
2022-04-25T18:13:30,0,0,0,0,-1,-1,-1
2022-04-25T18:18:20,0,0,0,0,-1,-1,-1
2022-04-25T18:23:09,0,0,0,0,-1,-1,-1
2022-04-25T18:27:58,0,0,0,0,-1,-1,-1
2022-04-25T18:33:04,0,0,0,0,-1,-1,-1
2022-04-25T18:37:53,0,0,0,0,-1,-1,-1
2022-04-25T18:42:42,0,0,0,0,-1,-1,-1
2022-04-25T18:47:32,0,0,0,0,-1,-1,-1
2022-04-25T18:52:21,0,0,0,0,-1,-1,-1
2022-04-25T18:57:10,0,0,0,0,-1,-1,-1
2022-04-25T19:02:00,0,0,0,0,-1,-1,-1
2022-04-25T19:06:49,0,0,0,0,-1,-1,-1
2022-04-25T19:11:38,0,0,0,0,-1,-1,-1
2022-04-25T19:16:28,0,0,0,0,-1,-1,-1
2022-04-25T19:21:17,0,0,0,0,-1,-1,-1
2022-04-25T19:26:06,0,0,0,0,-1,-1,-1
2022-04-25T19:30:56,0,0,0,0,-1,-1,-1
2022-04-25T19:35:45,0,0,0,0,-1,-1,-1
2022-04-25T19:40:35,0,0,0,0,-1,-1,-1
2022-04-25T19:45:24,0,0,0,0,-1,-1,-1
2022-04-25T19:50:13,0,0,0,0,-1,-1,-1
2022-04-25T19:55:03,0,0,0,0,-1,-1,-1
2022-04-25T19:59:52,0,0,0,0,-1,-1,-1
2022-04-25T20:04:43,0,0,0,0,-1,-1,-1
2022-04-25T20:09:32,0,0,0,0,-1,-1,-1
